"","id","year","wage","educ","exper","manuf","black","lwage","y81","y82","y83","y84","y85","y86","y87","inlf","expersq","lwage_1","inlf_1","inlfp1"
"21",7,87,16574.58984375,10,3,1,1,9.71562576293945,0,0,0,0,0,0,1,1,9,NA,0,NA
"22",8,81,15526.2099609375,12,0,1,1,9.65028476715088,1,0,0,0,0,0,0,1,0,NA,NA,1
"23",8,82,16442.4609375,12,1,1,1,9.70762252807617,0,1,0,0,0,0,0,1,1,10.2458057403564,1,1
"24",8,83,17075.990234375,12,2,1,1,9.74542903900146,0,0,1,0,0,0,0,1,4,10.1788997650146,1,1
"25",8,84,25164.25,12,3,0,1,10.1331796646118,0,0,0,1,0,0,0,1,9,9.70762252807617,1,1
"26",8,85,26341.470703125,12,4,0,1,10.1788997650146,0,0,0,0,1,0,0,1,16,10.3981876373291,1,0
"27",8,86,28164.169921875,12,5,0,1,10.2458057403564,0,0,0,0,0,1,0,1,25,9.4606990814209,1,1
"28",8,87,32800.140625,12,6,0,1,10.3981876373291,0,0,0,0,0,0,1,1,36,9.65028476715088,1,NA
"29",10,81,NA,11,1,0,1,NA,1,0,0,0,0,0,0,0,1,NA,NA,0
"30",10,82,NA,11,1,0,1,NA,0,1,0,0,0,0,0,0,1,NA,1,0
"31",10,83,NA,11,1,0,1,NA,0,0,1,0,0,0,0,0,1,NA,1,1
"32",10,84,18139.1796875,11,1,1,1,9.80582904815674,0,0,0,1,0,0,0,1,1,9.39474678039551,0,0
"33",10,85,12025.0498046875,11,2,1,1,9.39474678039551,0,0,0,0,1,0,0,1,4,NA,0,1
"34",10,86,NA,11,3,0,1,NA,0,0,0,0,0,1,0,0,9,NA,0,0
"35",10,87,NA,11,3,0,1,NA,0,0,0,0,0,0,1,0,9,NA,0,NA
"36",11,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,1
"37",11,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,0,0
"38",11,83,10336.849609375,11,0,0,1,9.24347019195557,0,0,1,0,0,0,0,1,0,9.49563980102539,1,1
"39",11,84,13301.599609375,11,1,0,1,9.49563980102539,0,0,0,1,0,0,0,1,1,9.72005653381348,1,0
"40",11,85,16648.189453125,11,2,0,1,9.72005653381348,0,0,0,0,1,0,0,1,4,9.37113285064697,1,1
"41",11,86,11744.41015625,11,3,0,1,9.37113285064697,0,0,0,0,0,1,0,1,9,NA,1,1
"42",11,87,8287.2900390625,11,4,0,1,9.0224781036377,0,0,0,0,0,0,1,1,16,9.24347019195557,0,NA
"43",12,81,NA,14,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"44",12,82,NA,14,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,1,1
"45",12,83,14159.669921875,14,0,1,1,9.55815315246582,0,0,1,0,0,0,0,1,0,9.78410243988037,0,1
"46",12,84,16828,14,1,1,1,9.73079967498779,0,0,0,1,0,0,0,1,1,NA,1,1
"47",12,85,17749.3203125,14,2,1,1,9.78410243988037,0,0,0,0,1,0,0,1,4,9.54404163360596,1,1
"48",12,86,13961.259765625,14,3,0,1,9.54404163360596,0,0,0,0,0,1,0,1,9,10.5367012023926,1,0
"49",12,87,37673.0703125,14,4,1,1,10.5367012023926,0,0,0,0,0,0,1,1,16,9.73079967498779,1,NA
"50",14,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"51",14,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,9.55815315246582,0,0
"52",14,83,NA,11,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,1
"53",14,84,6127.02978515625,11,0,0,1,8.72046566009521,0,0,0,1,0,0,0,1,0,NA,1,1
"54",14,85,NA,11,1,0,1,NA,0,0,0,0,1,0,0,0,1,NA,0,0
"55",14,86,NA,11,1,0,1,NA,0,0,0,0,0,1,0,0,1,NA,1,0
"56",14,87,8445.73046875,11,1,0,1,9.04141616821289,0,0,0,0,0,0,1,1,1,8.72046566009521,0,NA
"57",15,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"58",15,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,0,0
"59",15,83,NA,11,0,0,1,NA,0,0,1,0,0,0,0,0,0,9.04141616821289,0,0
"60",15,84,NA,11,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,0,0
"61",15,85,NA,11,0,0,1,NA,0,0,0,0,1,0,0,0,0,NA,0,0
"62",15,86,NA,11,0,0,1,NA,0,0,0,0,0,1,0,0,0,NA,1,0
"63",15,87,NA,11,0,0,1,NA,0,0,0,0,0,0,1,0,0,NA,0,NA
"64",19,81,12887.830078125,11,0,0,1,9.46403884887695,1,0,0,0,0,0,0,1,0,NA,NA,1
"65",19,82,NA,11,1,0,1,NA,0,1,0,0,0,0,0,0,1,NA,1,1
"66",19,83,14013.2802734375,11,1,1,1,9.54776096343994,0,0,1,0,0,0,0,1,1,9.65878295898438,0,0
"67",19,84,15658.7197265625,11,2,1,1,9.65878295898438,0,0,0,1,0,0,0,1,4,9.63155364990234,1,1
"68",19,85,15238.08984375,11,3,1,1,9.63155364990234,0,0,0,0,1,0,0,1,9,9.56343460083008,1,1
"69",19,86,NA,11,4,0,1,NA,0,0,0,0,0,1,0,0,16,NA,0,0
"70",19,87,14234.650390625,11,4,1,1,9.56343460083008,0,0,0,0,0,0,1,1,16,NA,1,NA
"71",24,81,NA,10,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,1
"72",24,82,9357.7998046875,10,0,0,1,9.14396572113037,0,1,0,0,0,0,0,1,0,9.33652210235596,1,1
"73",24,83,10550.419921875,10,1,0,1,9.26392078399658,0,0,1,0,0,0,0,1,1,9.44497776031494,1,1
"74",24,84,12644.5,10,2,0,1,9.44497776031494,0,0,0,1,0,0,0,1,4,NA,0,0
"75",24,85,14635.51953125,10,3,0,1,9.59120655059814,0,0,0,0,1,0,0,1,9,9.51717472076416,1,1
"76",24,86,11344.8798828125,10,4,0,1,9.33652210235596,0,0,0,0,0,1,0,1,16,9.26392078399658,1,1
"77",24,87,13591.16015625,10,5,0,1,9.51717472076416,0,0,0,0,0,0,1,1,25,9.14396572113037,1,NA
"78",25,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"79",25,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,0,0
"80",25,83,NA,11,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,1,1
"81",25,84,NA,11,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,1,0
"82",25,85,NA,11,0,0,1,NA,0,0,0,0,1,0,0,0,0,9.59120655059814,0,0
"83",25,86,NA,11,0,0,1,NA,0,0,0,0,0,1,0,0,0,NA,0,0
"84",25,87,14130.26953125,11,0,0,1,9.55607414245605,0,0,0,0,0,0,1,1,0,NA,0,NA
"85",28,81,7995.22998046875,12,0,0,1,8.98659992218018,1,0,0,0,0,0,0,1,0,NA,NA,0
"86",28,82,7870.52978515625,12,1,0,1,8.97088050842285,0,1,0,0,0,0,0,1,1,8.96182346343994,1,1
"87",28,83,15730.01953125,12,2,0,1,9.66332626342773,0,0,1,0,0,0,0,1,4,9.65033721923828,1,1
"88",28,84,15527.01953125,12,3,0,1,9.65033721923828,0,0,0,1,0,0,0,1,9,9.4217586517334,1,1
"89",28,85,7799.56982421875,12,4,0,1,8.96182346343994,0,0,0,0,1,0,0,1,16,9.66332626342773,0,1
"90",28,86,NA,12,5,0,1,NA,0,0,0,0,0,1,0,0,25,9.55607414245605,1,1
"91",28,87,12354.2900390625,12,5,0,1,9.4217586517334,0,0,0,0,0,0,1,1,25,NA,1,NA
"92",36,81,NA,9,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"93",36,82,NA,9,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,1,0
"94",36,83,NA,9,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,1
"95",36,84,NA,9,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,0,0
"96",36,85,5229.52001953125,9,0,0,1,8.56207466125488,0,0,0,0,1,0,0,1,0,NA,0,1
"97",36,86,7427.97998046875,9,1,0,1,8.91300964355469,0,0,0,0,0,1,0,1,1,9.47017669677734,1,0
"98",36,87,12967.1796875,9,2,0,1,9.47017669677734,0,0,0,0,0,0,1,1,4,8.56207466125488,1,NA
"99",40,81,NA,12,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,1
"100",40,82,12629.9697265625,12,0,0,1,9.44382762908936,0,1,0,0,0,0,0,1,0,9.77816486358643,1,1
"101",40,83,16430.869140625,12,1,0,1,9.70691680908203,0,0,1,0,0,0,0,1,1,10.0094051361084,0,1
"102",40,84,17644.240234375,12,2,0,1,9.77816486358643,0,0,0,1,0,0,0,1,4,NA,1,1
"103",40,85,17583.83984375,12,3,0,1,9.77473545074463,0,0,0,0,1,0,0,1,9,9.44382762908936,1,1
"104",40,86,22234.599609375,12,4,1,1,10.0094051361084,0,0,0,0,0,1,0,1,16,9.77473545074463,1,0
"105",40,87,15833.6103515625,12,5,0,1,9.66989040374756,0,0,0,0,0,0,1,1,25,9.70691680908203,1,NA
"106",41,81,12584.58984375,9,1,0,1,9.44022846221924,1,0,0,0,0,0,0,1,1,NA,NA,1
"107",41,82,NA,9,2,0,1,NA,0,1,0,0,0,0,0,0,4,NA,0,0
"108",41,83,1769.41003417969,9,2,0,1,7.47840166091919,0,0,1,0,0,0,0,1,4,NA,1,1
"109",41,84,NA,9,3,0,1,NA,0,0,0,1,0,0,0,0,9,9.66989040374756,1,1
"110",41,85,10228.3095703125,9,3,0,1,9.23291492462158,0,0,0,0,1,0,0,1,9,9.52406215667725,1,1
"111",41,86,13685.08984375,9,4,0,1,9.52406215667725,0,0,0,0,0,1,0,1,16,9.44022846221924,1,0
"112",41,87,10724.73046875,9,5,0,1,9.28030776977539,0,0,0,0,0,0,1,1,25,9.23291492462158,0,NA
"113",42,81,NA,10,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"114",42,82,NA,10,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,0,0
"115",42,83,NA,10,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,0
"116",42,84,NA,10,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,0,0
"117",42,85,NA,10,0,0,1,NA,0,0,0,0,1,0,0,0,0,NA,0,0
"118",42,86,NA,10,0,0,1,NA,0,0,0,0,0,1,0,0,0,NA,0,0
"119",42,87,NA,10,0,0,1,NA,0,0,0,0,0,0,1,0,0,9.28030776977539,0,NA
"120",47,81,NA,12,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"121",47,82,NA,12,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,1,1
"122",47,83,10260.6103515625,12,0,0,1,9.23606777191162,0,0,1,0,0,0,0,1,0,NA,0,1
"123",47,84,9253.8701171875,12,1,0,1,9.13279724121094,0,0,0,1,0,0,0,1,1,9.23606777191162,0,1
"124",47,85,NA,12,2,0,1,NA,0,0,0,0,1,0,0,0,4,NA,0,0
"125",47,86,9601.3095703125,12,2,0,1,9.16965484619141,0,0,0,0,0,1,0,1,4,9.13279724121094,1,0
"126",47,87,NA,12,3,0,1,NA,0,0,0,0,0,0,1,0,9,NA,0,NA
"127",53,81,NA,12,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"128",53,82,10366.9697265625,12,0,0,1,9.24637985229492,0,1,0,0,0,0,0,1,0,8.60678195953369,0,1
"129",53,83,NA,12,1,0,1,NA,0,0,1,0,0,0,0,0,1,NA,1,0
"130",53,84,7316.06982421875,12,1,0,1,8.89782810211182,0,0,0,1,0,0,0,1,1,NA,0,1
"131",53,85,NA,12,2,0,1,NA,0,0,0,0,1,0,0,0,4,NA,1,1
"132",53,86,NA,12,2,0,1,NA,0,0,0,0,0,1,0,0,4,9.16965484619141,0,0
"133",53,87,5468.6201171875,12,2,0,1,8.60678195953369,0,0,0,0,0,0,1,1,4,8.89782810211182,1,NA
"134",56,81,8472.5498046875,12,0,0,1,9.04458713531494,1,0,0,0,0,0,0,1,0,NA,NA,1
"135",56,82,8389.9697265625,12,1,0,1,9.03479194641113,0,1,0,0,0,0,0,1,1,9.72839450836182,1,1
"136",56,83,15420.51953125,12,2,0,1,9.64345455169678,0,0,1,0,0,0,0,1,4,9.24637985229492,1,1
"137",56,84,16787.580078125,12,3,0,1,9.72839450836182,0,0,0,1,0,0,0,1,9,9.04458713531494,1,1
"138",56,85,18346.8203125,12,4,0,1,9.81721115112305,0,0,0,0,1,0,0,1,16,9.03479194641113,1,0
"139",56,86,24371.810546875,12,5,0,1,10.1011819839478,0,0,0,0,0,1,0,1,25,10.138970375061,1,1
"140",56,87,25310.380859375,12,6,0,1,10.138970375061,0,0,0,0,0,0,1,1,36,9.64345455169678,1,NA
"141",57,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"142",57,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,0,0
"143",57,83,NA,11,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,0
"144",57,84,NA,11,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,1,0
"145",57,85,NA,11,0,0,1,NA,0,0,0,0,1,0,0,0,0,NA,0,1
"146",57,86,6832.41015625,11,0,0,1,8.82943248748779,0,0,0,0,0,1,0,1,0,NA,0,1
"147",57,87,10253.669921875,11,1,0,1,9.23539066314697,0,0,0,0,0,0,1,1,1,8.82943248748779,1,NA
"148",59,81,8108.4599609375,10,1,0,1,9.0006628036499,1,0,0,0,0,0,0,1,1,NA,NA,0
"149",59,82,8385.830078125,10,2,0,1,9.03429889678955,0,1,0,0,0,0,0,1,4,9.71562576293945,1,1
"150",59,83,8356.4296875,10,3,0,1,9.03078651428223,0,0,1,0,0,0,0,1,9,9.7512092590332,1,1
"151",59,84,20826.5,10,4,1,1,9.9439811706543,0,0,0,1,0,0,0,1,16,9.71934700012207,1,1
"152",59,85,16636.380859375,10,5,1,1,9.71934700012207,0,0,0,0,1,0,0,1,25,9.03429889678955,1,1
"153",59,86,17174.98046875,10,6,0,1,9.7512092590332,0,0,0,0,0,1,0,1,36,9.9439811706543,1,1
"154",59,87,16574.58984375,10,7,1,1,9.71562576293945,0,0,0,0,0,0,1,1,49,9.0006628036499,1,NA
"155",68,81,NA,10,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"156",68,82,NA,10,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,0,0
"157",68,83,NA,10,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,0
"158",68,84,NA,10,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,0,0
"159",68,85,NA,10,0,0,1,NA,0,0,0,0,1,0,0,0,0,NA,1,0
"160",68,86,NA,10,0,0,1,NA,0,0,0,0,0,1,0,0,0,9.03078651428223,0,0
"161",68,87,NA,10,0,0,1,NA,0,0,0,0,0,0,1,0,0,NA,0,NA
"162",71,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"163",71,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,1,1
"164",71,83,33351.37890625,11,0,0,1,10.4148540496826,0,0,1,0,0,0,0,1,0,NA,0,1
"165",71,84,34510.140625,11,1,0,1,10.4490089416504,0,0,0,1,0,0,0,1,1,10.4689588546753,1,1
"166",71,85,35205.5390625,11,2,0,1,10.4689588546753,0,0,0,0,1,0,0,1,4,10.4148540496826,1,0
"167",71,86,37667.421875,11,3,0,1,10.5365505218506,0,0,0,0,0,1,0,1,9,9.18499755859375,0,1
"168",71,87,9749.759765625,11,4,1,1,9.18499755859375,0,0,0,0,0,0,1,1,16,10.4490089416504,1,NA
"169",72,81,7745.3701171875,13,0,0,1,8.95485019683838,1,0,0,0,0,0,0,1,0,NA,NA,1
"170",72,82,8650.2900390625,13,1,0,1,9.06534767150879,0,1,0,0,0,0,0,1,1,9.45559787750244,1,1
"171",72,83,9660.98046875,13,2,0,1,9.1758508682251,0,0,1,0,0,0,0,1,4,9.06534767150879,1,1
"172",72,84,11693.830078125,13,3,0,1,9.36681652069092,0,0,0,1,0,0,0,1,9,NA,1,0
"173",72,85,10206.080078125,13,4,0,1,9.23073863983154,0,0,0,0,1,0,0,1,16,9.1758508682251,0,1
"174",72,86,NA,13,5,0,1,NA,0,0,0,0,0,1,0,0,25,10.5365505218506,1,1
"175",72,87,12779.5,13,5,0,1,9.45559787750244,0,0,0,0,0,0,1,1,25,9.36681652069092,1,NA
"176",73,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"177",73,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,8.95485019683838,0,0
"178",73,83,NA,11,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,0
"179",73,84,NA,11,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,1,0
"180",73,85,NA,11,0,0,1,NA,0,0,0,0,1,0,0,0,0,NA,0,0
"181",73,86,NA,11,0,0,1,NA,0,0,0,0,0,1,0,0,0,NA,0,0
"182",73,87,NA,11,0,0,1,NA,0,0,0,0,0,0,1,0,0,NA,0,NA
"183",78,81,NA,12,1,0,1,NA,1,0,0,0,0,0,0,0,1,NA,NA,0
"184",78,82,NA,12,1,0,1,NA,0,1,0,0,0,0,0,0,1,NA,0,1
"185",78,83,7584.8701171875,12,1,0,1,8.93391036987305,0,0,1,0,0,0,0,1,1,9.38004398345947,1,1
"186",78,84,NA,12,2,0,1,NA,0,0,0,1,0,0,0,0,4,NA,0,0
"187",78,85,8430.6904296875,12,2,1,1,9.03963375091553,0,0,0,0,1,0,0,1,4,9.35564136505127,1,0
"188",78,86,11849.5400390625,12,3,0,1,9.38004398345947,0,0,0,0,0,1,0,1,9,9.03963375091553,1,1
"189",78,87,11563.8798828125,12,4,0,1,9.35564136505127,0,0,0,0,0,0,1,1,16,NA,0,NA
"190",81,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"191",81,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,8.93391036987305,0,1
"192",81,83,NA,11,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,1,0
"193",81,84,5266.759765625,11,0,0,1,8.56917095184326,0,0,0,1,0,0,0,1,0,8.89830589294434,1,1
"194",81,85,5312.81982421875,11,1,0,1,8.57787799835205,0,0,0,0,1,0,0,1,1,NA,0,1
"195",81,86,5033.10986328125,11,2,0,1,8.52379322052002,0,0,0,0,0,1,0,1,4,8.56917095184326,1,1
"196",81,87,7319.56005859375,11,3,1,1,8.89830589294434,0,0,0,0,0,0,1,1,9,8.57787799835205,0,NA
"197",84,81,NA,12,1,0,1,NA,1,0,0,0,0,0,0,0,1,NA,NA,1
"198",84,82,NA,12,1,0,1,NA,0,1,0,0,0,0,0,0,1,8.52379322052002,0,0
"199",84,83,7983.81982421875,12,1,0,1,8.98517227172852,0,0,1,0,0,0,0,1,1,8.81159400939941,1,1
"200",84,84,6711.60986328125,12,2,0,1,8.81159400939941,0,0,0,1,0,0,0,1,4,9.45694065093994,1,1
"201",84,85,12796.669921875,12,3,1,1,9.45694065093994,0,0,0,0,1,0,0,1,9,9.6250581741333,0,1
"202",84,86,12693.9404296875,12,4,1,1,9.44888019561768,0,0,0,0,0,1,0,1,16,8.98517227172852,1,1
"203",84,87,15139.4296875,12,5,1,1,9.6250581741333,0,0,0,0,0,0,1,1,25,NA,1,NA
"204",91,81,99012.7578125,10,2,0,1,11.5030040740967,1,0,0,0,0,0,0,1,4,NA,NA,1
"205",91,82,38598.58984375,10,3,0,1,10.5609712600708,0,1,0,0,0,0,0,1,9,10.8181858062744,1,1
"206",91,83,49920.44140625,10,4,0,1,10.8181858062744,0,0,1,0,0,0,0,1,16,10.7943344116211,1,1
"207",91,84,49252.12109375,10,5,0,1,10.8047075271606,0,0,0,1,0,0,0,1,25,10.5672006607056,1,1
"208",91,85,48743.83984375,10,6,0,1,10.7943344116211,0,0,0,0,1,0,0,1,36,10.8047075271606,1,1
"209",91,86,38839.80859375,10,7,0,1,10.5672006607056,0,0,0,0,0,1,0,1,49,9.44888019561768,1,0
"210",91,87,22668.189453125,10,8,0,1,10.0287179946899,0,0,0,0,0,0,1,1,64,10.5609712600708,1,NA
"211",95,81,NA,12,1,0,1,NA,1,0,0,0,0,0,0,0,1,NA,NA,1
"212",95,82,NA,12,1,0,1,NA,0,1,0,0,0,0,0,0,1,11.5030040740967,1,0
"213",95,83,19284.16015625,12,1,1,1,9.86703968048096,0,0,1,0,0,0,0,1,1,NA,1,0
"214",95,84,20096.779296875,12,2,1,1,9.90831470489502,0,0,0,1,0,0,0,1,4,9.86703968048096,1,1
"215",95,85,26620.580078125,12,3,0,1,10.1894397735596,0,0,0,0,1,0,0,1,9,10.27663230896,0,1
"216",95,86,50027.859375,12,4,0,1,10.8203353881836,0,0,0,0,0,1,0,1,16,10.1894397735596,1,1
"217",95,87,29045.880859375,12,5,0,1,10.27663230896,0,0,0,0,0,0,1,1,25,9.90831470489502,1,NA
"218",99,81,NA,11,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,1
"219",99,82,NA,11,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,1,0
"220",99,83,NA,11,0,0,1,NA,0,0,1,0,0,0,0,0,0,10.8203353881836,0,0
"221",99,84,NA,11,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,1,0
"222",99,85,19320.439453125,11,0,0,1,9.86891841888428,0,0,0,0,1,0,0,1,0,9.47217559814453,0,1
"223",99,86,12993.1201171875,11,1,0,1,9.47217559814453,0,0,0,0,0,1,0,1,1,NA,0,1
"224",99,87,12382.1904296875,11,2,0,1,9.4240140914917,0,0,0,0,0,0,1,1,4,9.86891841888428,1,NA
"225",100,81,13613.240234375,13,1,0,1,9.51879787445068,1,0,0,0,0,0,0,1,1,NA,NA,1
"226",100,82,18157.830078125,13,2,0,1,9.80685710906982,0,1,0,0,0,0,0,1,4,9.95748424530029,1,1
"227",100,83,19440.41015625,13,3,0,1,9.87510871887207,0,0,1,0,0,0,0,1,9,9.51879787445068,1,1
"228",100,84,21109.630859375,13,4,0,1,9.95748424530029,0,0,0,1,0,0,0,1,16,9.9627103805542,1,1
"229",100,85,21367.919921875,13,5,0,1,9.96964645385742,0,0,0,0,1,0,0,1,25,9.80685710906982,1,1
"230",100,86,21220.23046875,13,6,0,1,9.9627103805542,0,0,0,0,0,1,0,1,36,9.4240140914917,1,0
"231",100,87,20942.48046875,13,7,0,1,9.94953536987305,0,0,0,0,0,0,1,1,49,9.87510871887207,1,NA
"232",103,81,12238.5400390625,12,0,0,1,9.41234493255615,1,0,0,0,0,0,0,1,0,NA,NA,1
"233",103,82,14334.8603515625,12,1,1,1,9.57044982910156,0,1,0,0,0,0,0,1,1,NA,1,1
"234",103,83,12409.5400390625,12,2,1,1,9.42622089385986,0,0,1,0,0,0,0,1,4,9.58754062652588,1,1
"235",103,84,12761.400390625,12,3,1,1,9.45418071746826,0,0,0,1,0,0,0,1,9,9.41234493255615,0,1
"236",103,85,14581.9697265625,12,4,1,1,9.58754062652588,0,0,0,0,1,0,0,1,16,9.60922050476074,1,0
"237",103,86,14901.5498046875,12,5,1,1,9.60922050476074,0,0,0,0,0,1,0,1,25,9.45418071746826,1,1
"238",103,87,NA,12,6,0,1,NA,0,0,0,0,0,0,1,0,36,9.94953536987305,1,NA
"239",104,81,NA,9,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"240",104,82,NA,9,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,0,0
"241",104,83,NA,9,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,0
"242",104,84,NA,9,0,0,1,NA,0,0,0,1,0,0,0,0,0,9.42622089385986,0,0
"243",104,85,NA,9,0,0,1,NA,0,0,0,0,1,0,0,0,0,NA,1,0
"244",104,86,NA,9,0,0,1,NA,0,0,0,0,0,1,0,0,0,NA,0,0
"245",104,87,NA,9,0,0,1,NA,0,0,0,0,0,0,1,0,0,NA,0,NA
"246",110,81,NA,12,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,0
"247",110,82,7335.6201171875,12,0,0,1,8.90049743652344,0,1,0,0,0,0,0,1,0,9.04115009307861,1,1
"248",110,83,9569.7099609375,12,1,1,1,9.16635799407959,0,0,1,0,0,0,0,1,1,8.90049743652344,1,1
"249",110,84,10385.240234375,12,2,1,1,9.24814128875732,0,0,0,1,0,0,0,1,4,9.20068454742432,1,1
"250",110,85,8443.48046875,12,3,1,1,9.04115009307861,0,0,0,0,1,0,0,1,9,NA,0,1
"251",110,86,NA,12,4,0,1,NA,0,0,0,0,0,1,0,0,16,NA,0,1
"252",110,87,9903.91015625,12,4,1,1,9.20068454742432,0,0,0,0,0,0,1,1,16,9.16635799407959,1,NA
"253",111,81,23517.880859375,11,2,1,1,10.0655164718628,1,0,0,0,0,0,0,1,4,NA,NA,0
"254",111,82,23447.869140625,11,3,1,1,10.0625352859497,0,1,0,0,0,0,0,1,9,10.0285968780518,0,1
"255",111,83,22665.439453125,11,4,1,1,10.0285968780518,0,0,1,0,0,0,0,1,16,10.0655164718628,1,1
"256",111,84,NA,11,5,0,1,NA,0,0,0,1,0,0,0,0,25,NA,1,1
"257",111,85,NA,11,5,0,1,NA,0,0,0,0,1,0,0,0,25,NA,1,0
