"","id","pyears","prftshr","choice","female","married","age","educ","finc25","finc35","finc50","finc75","finc100","finc101","wealth89","black","stckin89","irain89","pctstck"
"46",1088,20,0,0,0,1,68,18,1,0,0,0,0,0,101,0,0,1,0
"47",1101,7,1,0,1,0,63,12,1,0,0,0,0,0,120,0,1,0,100
"48",1104,2,0,1,1,0,60,17,0,0,1,0,0,0,25.5,0,0,1,0
"49",1140,26,1,1,0,1,64,12,0,1,0,0,0,0,150,0,0,0,50
"50",1173,2,0,0,1,1,57,12,1,0,0,0,0,0,106.300003051758,0,1,1,100
"51",1190,NA,0,0,1,1,55,14,0,0,1,0,0,0,105,0,0,0,50
"52",1191,10,0,1,0,1,59,12,0,1,0,0,0,0,0,0,0,0,50
"53",1220,35,NA,1,0,1,63,16,0,0,0,0,0,1,275.433013916016,0,0,1,50
"54",1230,3,0,0,1,0,59,12,1,0,0,0,0,0,102.055999755859,0,1,1,50
"55",1266,NA,NA,1,0,1,71,12,1,0,0,0,0,0,0,1,0,0,50
"56",1279,2,0,1,1,0,55,12,0,0,1,0,0,0,90,0,0,1,50
"57",1309,6,0,1,1,1,60,8,NA,NA,NA,NA,NA,NA,37.25,1,0,0,0
"58",1323,35,0,0,1,0,64,17,0,1,0,0,0,0,64.8190002441406,1,0,1,50
"59",1360,10,0,1,0,1,66,12,0,1,0,0,0,0,0,0,0,0,0
"60",1401,2,1,1,1,0,57,12,0,0,0,0,0,1,1.5,0,0,0,0
"61",1422,20,1,0,1,0,65,12,NA,NA,NA,NA,NA,NA,198.5,0,0,1,100
"62",1436,8,1,1,0,1,61,16,NA,NA,NA,NA,NA,NA,422.200012207031,0,0,0,50
"63",1478,NA,NA,0,1,0,58,12,0,1,0,0,0,0,15.6999998092651,1,1,0,100
"64",1542,5,0,1,1,1,69,12,1,0,0,0,0,0,302,0,1,1,50
"65",1549,12,0,0,1,1,59,18,0,0,0,0,1,0,175,1,0,1,50
"66",1549,15,0,0,0,1,61,18,0,0,0,0,1,0,175,1,0,1,50
"67",1576,6,0,1,0,1,60,16,0,0,0,1,0,0,136,0,0,1,50
"68",1577,3,0,1,1,0,60,8,1,0,0,0,0,0,1.60000002384186,0,0,0,0
"69",1591,25,1,0,0,1,73,12,0,0,1,0,0,0,165,0,0,0,0
"70",1597,NA,0,1,0,1,61,16,0,0,0,0,0,1,-579.997009277344,0,1,1,50
"71",1603,6,0,1,1,0,64,15,0,0,0,0,1,0,248,0,1,1,100
"72",1658,3,0,1,1,1,61,12,1,0,0,0,0,0,306.799987792969,0,0,1,0
"73",1658,3,0,1,0,1,62,11,1,0,0,0,0,0,306.799987792969,0,0,1,0
"74",1667,1,0,1,1,1,56,12,1,0,0,0,0,0,227,0,0,1,0
"75",1670,12,0,1,0,1,59,12,0,1,0,0,0,0,261.600006103516,0,1,1,100
"76",1671,20,0,0,0,1,68,8,1,0,0,0,0,0,133,0,1,1,0
"77",1672,14,0,1,1,0,59,16,1,0,0,0,0,0,214,0,0,1,50
"78",1673,5,NA,1,1,0,62,15,1,0,0,0,0,0,96.3000030517578,0,0,1,50
"79",1691,6,1,1,0,1,65,12,0,1,0,0,0,0,68,0,0,0,100
"80",1755,3,0,0,1,0,60,12,1,0,0,0,0,0,171.699996948242,0,1,1,0
"81",1757,7,0,0,1,0,57,12,1,0,0,0,0,0,87,0,0,0,50
"82",1762,28,1,0,0,1,63,12,0,0,1,0,0,0,402.951995849609,0,1,1,50
"83",1768,11,0,0,1,1,55,12,0,1,0,0,0,0,369.399993896484,0,0,0,100
"84",1787,10,1,0,0,1,64,11,0,1,0,0,0,0,38.5,0,0,0,100
"85",1809,17,0,0,0,1,61,18,0,0,0,0,1,0,79.8000030517578,0,0,0,50
"86",1810,15,0,1,1,1,57,9,0,0,0,0,1,0,70,0,0,0,50
"87",1810,8,0,1,0,1,61,18,0,0,0,0,1,0,70,0,0,0,50
"88",1812,37,NA,0,0,1,65,9,0,0,0,0,0,0,99.2249984741211,0,0,1,0
"89",1824,2,0,1,0,1,62,18,0,0,0,0,1,0,711.997009277344,0,1,0,50
"90",1833,16,1,1,0,1,57,14,0,0,1,0,0,0,98,0,0,0,100
"91",1935,13,0,1,1,1,57,12,0,0,0,1,0,0,87.5,0,0,1,0
"92",1947,5,0,1,1,1,60,12,0,1,0,0,0,0,0,0,0,0,100
"93",1951,18,NA,0,1,0,55,12,1,0,0,0,0,0,7.5,0,0,1,100
"94",1965,1,0,1,1,1,56,12,0,0,1,0,0,0,120.5,0,0,1,100
"95",1995,6,0,1,0,1,55,18,0,0,0,0,1,0,5.69999980926514,0,1,0,50
"96",2012,25,0,1,0,1,63,16,0,0,0,1,0,0,525,0,1,1,0
"97",2034,2,0,1,1,1,62,12,0,1,0,0,0,0,483,0,0,1,0
"98",2082,4,1,1,0,1,64,12,0,0,1,0,0,0,98.6999969482422,0,0,0,50
"99",2082,45,1,1,0,1,64,12,0,0,1,0,0,0,98.6999969482422,0,0,0,50
"100",2100,15,NA,0,0,1,64,11,0,1,0,0,0,0,95,0,0,0,50
"101",2100,15,NA,0,0,1,64,11,0,1,0,0,0,0,95,0,0,0,50
"102",2142,2,0,1,1,0,56,12,1,0,0,0,0,0,2,0,0,0,0
"103",2148,20,0,1,0,1,60,14,0,0,1,0,0,0,180.399993896484,0,1,0,50
"104",2190,38,0,0,0,1,56,15,0,0,0,0,1,0,110,0,0,0,100
"105",2190,38,1,0,0,1,56,15,0,0,0,0,1,0,110,0,0,0,100
"106",2198,13,1,1,1,1,64,14,1,0,0,0,0,0,79.4499969482422,0,0,1,0
"107",2204,1,0,1,1,1,55,12,0,0,0,1,0,0,314,0,1,1,50
"108",2204,6,0,1,1,1,55,12,0,0,0,1,0,0,314,0,1,1,50
"109",2265,3,0,1,1,0,55,16,0,0,1,0,0,0,42,0,0,0,100
"110",2319,15,0,1,1,0,64,8,1,0,0,0,0,0,47.4000015258789,0,0,1,0
"111",2324,7,0,1,1,1,68,14,0,0,0,0,0,0,208.399993896484,0,1,1,50
"112",2359,22,0,0,1,1,65,14,0,0,0,0,0,0,21,0,0,0,0
"113",2373,23,0,1,0,1,72,18,0,1,0,0,0,0,98.9000015258789,0,0,0,50
"114",2382,6,1,1,1,1,58,12,0,0,0,0,0,0,33.8800010681152,0,1,0,100
"115",2382,3,0,1,1,1,58,12,0,0,0,0,0,0,33.8800010681152,0,1,0,100
"116",2439,3,0,0,1,0,56,12,0,1,0,0,0,0,96,0,0,0,50
"117",2442,15,0,0,1,0,57,9,1,0,0,0,0,0,66.5479965209961,0,0,0,0
"118",2443,5,0,0,1,1,59,14,1,0,0,0,0,0,42.4599990844727,1,1,1,0
"119",2453,27,0,1,1,0,63,12,0,0,0,0,0,0,105.199996948242,0,1,0,100
"120",2470,6,0,0,1,0,64,NA,0,0,1,0,0,0,0,0,0,0,0
"121",2512,12,0,1,1,1,59,18,0,0,0,0,1,0,370,0,0,0,50
"122",2512,12,0,0,1,1,59,18,0,0,0,0,1,0,370,0,0,0,50
"123",2513,13,0,1,1,0,57,12,1,0,0,0,0,0,0,1,0,0,100
"124",2516,14,0,0,1,0,61,12,1,0,0,0,0,0,25,1,0,0,0
"125",2539,18,0,0,1,1,56,16,0,0,1,0,0,0,265,0,0,0,50
"126",2539,18,0,0,0,1,58,16,0,0,1,0,0,0,265,0,0,0,50
"127",2555,9,0,1,1,0,56,12,0,0,1,0,0,0,-3.79999995231628,1,0,0,100
"128",2607,24,0,0,0,1,65,12,0,0,1,0,0,0,48.3699989318848,1,0,0,50
"129",2615,6,0,1,1,0,55,12,0,0,1,0,0,0,15.5,0,0,0,100
"130",2618,2,NA,1,0,1,53,14,0,0,1,0,0,0,52,0,0,0,100
"131",2640,20,0,1,0,1,64,12,0,1,0,0,0,0,-6.30000019073486,0,0,0,100
"132",2679,5,NA,1,1,0,56,18,0,0,1,0,0,0,360.100006103516,0,0,1,0
"133",2681,4,0,1,1,0,58,18,0,1,0,0,0,0,89,0,1,1,0
"134",2772,2,0,1,1,1,55,11,0,0,1,0,0,0,70.3000030517578,1,0,0,50
"135",2809,1,1,1,1,1,61,16,0,0,0,0,0,0,810,0,1,1,100
"136",2829,1,0,1,0,1,64,18,0,0,0,0,1,0,341,0,1,1,100
"137",2840,24,0,0,0,1,56,12,0,1,0,0,0,0,50,0,0,0,0
"138",2871,12,0,0,1,1,64,12,0,1,0,0,0,0,152,0,1,1,0
"139",2943,1,1,1,1,0,62,12,1,0,0,0,0,0,31.2000007629395,0,0,1,0
"140",3006,1,0,1,1,1,60,16,0,0,0,1,0,0,584.200012207031,0,1,0,50
"141",3018,3,0,1,1,1,58,13,0,0,0,1,0,0,633,0,1,1,50
"142",3033,NA,0,1,0,1,58,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"143",3045,2,NA,1,1,0,65,12,1,0,0,0,0,0,172,0,0,1,100
"144",3048,10,0,1,1,1,64,12,NA,NA,NA,NA,NA,NA,77.0800018310547,0,0,1,0
"145",3087,7,0,1,1,1,57,14,0,0,1,0,0,0,79.8000030517578,0,0,1,100
"146",3193,20,1,1,0,1,69,12,0,0,0,1,0,0,166.5,0,1,0,100
"147",3259,20,0,0,1,1,58,9,0,1,0,0,0,0,7.90000009536743,1,0,0,100
"148",3334,4,1,0,1,0,58,16,0,0,1,0,0,0,65.0999984741211,0,0,1,0
"149",3352,10,0,1,1,0,56,12,1,0,0,0,0,0,-1.10000002384186,1,0,0,100
"150",3365,2,0,0,1,1,59,16,1,0,0,0,0,0,194.949996948242,0,1,0,0
"151",3381,9,1,1,1,1,62,12,0,0,1,0,0,0,140,0,1,1,50
"152",3381,10,0,1,0,1,65,12,0,0,1,0,0,0,140,0,1,1,50
"153",3381,10,NA,1,0,1,65,12,0,0,1,0,0,0,140,0,1,1,50
"154",3383,2,1,0,1,0,55,16,0,0,0,0,0,0,-2.29999995231628,1,0,0,0
"155",3504,9,1,0,0,1,68,13,0,1,0,0,0,0,243.199996948242,0,0,1,100
"156",3584,20,0,1,0,1,57,12,0,0,0,1,0,0,595,0,1,1,100
"157",3585,10,0,1,0,1,60,17,0,0,1,0,0,0,225,0,0,1,50
"158",3600,9,1,0,1,1,55,12,0,0,1,0,0,0,691,0,1,1,0
"159",3606,5,0,0,0,1,59,12,0,0,1,0,0,0,70.4000015258789,0,0,0,50
"160",3617,8,0,1,0,1,58,17,0,0,0,1,0,0,390.100006103516,0,1,1,100
"161",3633,0,0,1,1,1,63,13,0,0,0,0,1,0,289.5,0,0,0,50
"162",3641,7,0,1,1,0,57,15,0,0,1,0,0,0,1,1,0,0,50
"163",3646,0,0,1,1,1,56,12,0,0,0,0,1,0,990,0,1,1,100
"164",3669,5,0,0,0,1,58,12,0,0,0,1,0,0,50.5999984741211,0,0,0,0
"165",3683,3,0,0,1,0,61,14,1,0,0,0,0,0,-2.80999994277954,0,1,0,0
"166",3724,10,0,0,1,1,55,18,0,0,1,0,0,0,30.5,1,0,1,50
"167",3726,10,0,1,0,1,58,12,0,0,0,1,0,0,244.5,0,0,1,100
"168",3733,4,0,1,0,1,64,18,0,0,0,1,0,0,360,0,1,1,100
"169",3802,15,0,1,0,1,63,12,0,0,0,0,1,0,240,0,0,1,0
"170",3805,34,0,0,1,0,66,14,0,0,1,0,0,0,98.5,0,0,0,50
"171",3824,25,0,1,0,1,65,17,1,0,0,0,0,0,662,0,1,1,50
"172",3829,1,0,0,1,1,56,12,0,0,1,0,0,0,226,0,0,1,50
"173",3829,15,0,1,1,1,56,12,0,0,1,0,0,0,226,0,0,1,50
"174",3830,13,NA,1,1,1,69,12,0,1,0,0,0,0,515,0,1,1,50
"175",3830,NA,NA,0,0,1,67,13,0,1,0,0,0,0,515,0,1,1,50
"176",3846,5,0,1,1,1,59,12,0,0,0,1,0,0,295.399993896484,0,0,0,50
"177",3846,6,0,1,0,1,61,17,0,0,0,1,0,0,295.399993896484,0,0,0,50
"178",3848,14,0,1,1,1,64,18,0,0,0,1,0,0,199,0,1,1,0
"179",3855,20,1,1,0,1,54,16,0,0,0,1,0,0,113,0,0,0,50
"180",3878,3,0,0,1,1,68,12,0,0,0,0,0,1,1396.99694824219,0,0,1,0
"181",3884,7,0,0,1,0,55,12,1,0,0,0,0,0,18,0,0,1,50
"182",3898,4,0,1,1,0,60,12,1,0,0,0,0,0,81.1999969482422,0,1,1,50
"183",3906,2,0,1,1,1,57,16,0,0,0,1,0,0,445.5,0,1,1,0
"184",3917,7,1,0,1,1,62,16,0,0,0,0,1,0,751.997009277344,0,1,1,0
"185",3917,7,1,0,0,1,64,12,0,0,0,0,1,0,751.997009277344,0,1,1,0
"186",3923,20,0,1,1,1,60,18,0,0,0,0,0,1,252,0,0,1,50
"187",3931,1,0,1,1,1,60,16,0,0,1,0,0,0,118.324996948242,0,1,1,100
"188",3931,2,0,0,0,1,59,10,0,0,1,0,0,0,118.324996948242,0,1,1,100
"189",3938,1,0,0,1,1,55,13,0,0,0,0,0,1,3.09999990463257,0,0,0,0
"190",3961,11,0,1,1,0,62,18,0,0,0,1,0,0,1103,0,0,1,0
"191",3973,1,0,1,1,0,55,14,0,0,1,0,0,0,20,0,0,1,100
"192",3979,30,0,1,0,1,58,18,0,0,0,1,0,0,114.5,0,0,0,50
"193",4001,8,0,1,1,0,57,12,0,1,0,0,0,0,25,1,0,1,100
"194",4017,3,0,1,1,1,57,13,0,1,0,0,0,0,-4.28499984741211,0,0,0,0
"195",4070,10,0,1,1,1,57,16,0,0,0,0,0,1,895,0,0,0,50
"196",4072,11,0,1,0,1,70,18,0,1,0,0,0,0,555.5,0,1,0,100
"197",4110,4,0,1,0,1,65,17,0,0,0,1,0,0,846.400024414062,0,0,1,100
"198",4124,25,1,0,1,1,67,12,0,1,0,0,0,0,122.699996948242,0,0,1,0
"199",4125,11,0,1,0,1,59,14,0,0,0,0,1,0,172.100006103516,0,1,1,0
"200",4127,25,0,1,0,1,61,12,0,1,0,0,0,0,143,0,0,1,0
"201",4134,15,0,1,1,1,61,16,0,0,1,0,0,0,2,0,0,0,0
"202",4143,7,0,1,1,0,65,12,0,0,1,0,0,0,31.9500007629395,0,0,0,100
"203",4154,4,0,1,1,0,62,17,0,1,0,0,0,0,151.615997314453,0,0,1,50
"204",4206,1,1,0,1,1,55,12,1,0,0,0,0,0,88.5,0,0,0,100
"205",4230,NA,0,1,0,1,59,18,0,0,0,0,0,1,216,0,0,1,50
"206",4237,14,1,0,1,0,55,15,1,0,0,0,0,0,101.080001831055,0,1,0,100
"207",4248,16,0,0,0,1,63,12,0,0,1,0,0,0,1484.99694824219,0,1,1,0
"208",4318,7,0,0,1,0,62,12,0,0,0,0,0,0,11,0,0,0,0
"209",4324,6,0,1,0,1,58,12,0,0,1,0,0,0,242.149993896484,0,1,1,0
"210",4389,16,0,1,1,0,65,11,1,0,0,0,0,0,166,0,1,1,0
"211",4401,10,0,0,1,1,61,9,0,1,0,0,0,0,57,0,0,1,0
"212",4419,6,0,1,1,0,55,12,0,0,0,0,0,0,58.9000015258789,1,0,0,50
"213",4485,10,1,0,1,1,63,12,1,0,0,0,0,0,66.5,0,0,0,0
"214",4485,27,0,0,0,1,66,12,1,0,0,0,0,0,66.5,0,0,0,0
"215",4544,5,0,1,0,1,64,8,0,0,1,0,0,0,101.75,0,0,1,50
"216",4580,8,0,0,0,1,70,12,0,1,0,0,0,0,329,0,0,1,0
"217",4592,2,0,1,1,1,55,16,0,0,0,0,0,1,-2,0,0,0,50
"218",4593,28,0,1,0,1,59,16,0,0,1,0,0,0,180,0,0,0,0
"219",4601,4,0,0,0,1,60,8,1,0,0,0,0,0,10,1,0,0,0
"220",4729,3,1,0,0,1,57,18,0,0,1,0,0,0,84.7200012207031,0,0,1,100
"221",4828,36,1,1,0,1,58,12,0,0,0,1,0,0,81,0,0,0,0
"222",4935,3,0,1,1,1,57,17,0,0,0,0,1,0,116,0,0,0,100
"223",4936,2,1,0,1,1,60,9,1,0,0,0,0,0,163.800003051758,0,0,0,100
"224",4964,24,0,1,0,1,61,16,0,0,0,0,1,0,246,0,1,1,50
"225",5014,29,1,0,1,1,58,17,1,0,0,0,0,0,213,0,0,0,100
"226",5014,30,1,0,0,1,59,16,1,0,0,0,0,0,213,0,0,0,100
