"","kidcount","morekids","boys2","girls2","boy1st","boy2nd","samesex","multi2nd","age","agefstm","black","hispan","worked","weeks","hours","labinc","faminc","nonmomi","educ"
"47",3,1,1,0,1,1,1,0,30,19,1,0,0,0,0,0,46.381217956543,46.381217956543,13
"48",2,0,0,1,0,0,1,0,35,25,1,0,1,52,40,12.6055307388306,73.1246871948242,60.5191612243652,12
"49",2,0,0,1,0,0,1,0,34,24,1,0,1,50,40,21.0022201538086,74.4996337890625,53.4974403381348,12
"50",4,1,0,0,0,1,0,0,34,19,1,0,1,36,40,9.4567699432373,24.5813102722168,15.1245403289795,11
"51",2,0,0,0,1,0,0,0,23,17,1,0,1,52,40,16.0481796264648,24.0775203704834,8.02933979034424,12
"52",3,1,0,0,0,1,0,0,29,16,1,0,1,52,40,29.3989200592041,62.9961929321289,33.5972518920898,12
"53",4,1,0,0,0,1,0,0,33,20,1,0,0,0,0,0,11.944299697876,11.944299697876,12
"54",3,1,0,0,1,0,0,0,33,19,1,0,0,0,0,0,21.0022201538086,21.0022201538086,8
"55",3,1,0,0,1,0,0,0,34,19,1,0,0,0,0,0,54.5890007019043,54.5890007019043,12
"56",2,0,0,0,0,1,0,0,25,17,1,0,1,36,35,6.30802011489868,20.1835498809814,13.8755302429199,12
"57",4,1,1,0,1,1,1,0,24,17,1,0,1,20,40,4.20883989334106,33.4713096618652,29.2624702453613,12
"58",2,0,1,0,1,1,1,0,34,25,0,1,0,0,0,0,6.30802011489868,6.30802011489868,12
"59",2,0,0,0,1,0,0,0,32,23,0,1,0,0,0,0,39.8947830200195,39.8947830200195,7
"60",3,1,0,0,1,0,0,0,24,20,1,0,0,0,0,0,14.1379299163818,14.1379299163818,9
"61",3,1,0,0,0,1,0,0,25,20,1,0,1,52,50,12.0807399749756,14.2533798217773,2.17263984680176,14
"62",4,1,1,0,1,1,1,0,35,17,0,1,1,52,40,18.8820610046387,45.4995574951172,26.6175193786621,7
"63",5,1,0,0,1,0,0,0,31,15,1,0,1,52,40,13.6551198959351,32.8310585021973,19.1759395599365,12
"64",3,1,1,0,1,1,1,0,29,21,1,0,1,12,36,2.52950000762939,34.5628776550293,32.0333824157715,14
"65",4,1,0,0,0,1,0,0,30,17,1,0,1,4,35,4.20883989334106,25.2110614776611,21.0022201538086,12
"66",3,1,1,0,1,1,1,0,32,19,1,0,1,27,40,26.2501602172852,70.9834976196289,44.7333793640137,13
"67",3,1,0,0,1,0,0,0,28,17,1,0,1,48,7,8.84801959991455,29.9341983795166,21.0861892700195,12
"68",2,0,0,1,0,0,1,0,29,25,1,0,1,30,40,21.0022201538086,54.662467956543,33.6602172851562,16
"69",2,0,1,0,1,1,1,0,34,20,1,0,1,46,40,14.4947900772095,18.3887500762939,3.89397001266479,13
"70",2,0,0,1,0,0,1,0,30,26,1,0,1,48,40,27.2157783508301,42.550220489502,15.3344602584839,16
"71",2,0,0,1,0,0,1,0,27,19,1,0,1,51,30,10.5063600540161,47.2523803710938,36.7460327148438,12
"72",2,0,1,0,1,1,1,0,34,22,1,0,1,4,40,6.30802011489868,33.6077499389648,27.2997493743896,13
"73",2,0,0,0,1,0,0,0,33,26,1,0,1,52,38,25.1166095733643,51.3667488098145,26.2501602172852,14
"74",3,1,0,0,1,0,0,0,25,19,1,0,1,8,15,0.0524800010025501,21.0546989440918,21.0022201538086,11
"75",2,0,0,0,0,1,0,0,32,24,1,0,0,0,0,0,10.5063600540161,10.5063600540161,12
"76",3,1,1,0,1,1,1,0,27,15,1,0,0,0,0,0,6.41297006607056,6.41297006607056,10
"77",2,0,1,0,1,1,1,0,26,19,1,0,0,0,0,0,48.2914695739746,48.2914695739746,13
"78",3,1,1,0,1,1,1,0,35,24,1,0,1,20,36,4.20883989334106,42.0044403076172,37.7955894470215,16
"79",3,1,0,0,1,0,0,0,33,18,1,0,0,0,0,0,25.2005805969238,25.2005805969238,12
"80",2,0,0,0,1,0,0,0,33,22,1,0,1,52,40,31.4980907440186,70.7631301879883,39.2650299072266,18
"81",2,0,0,1,0,0,1,0,35,22,0,1,1,52,40,9.87661075592041,41.3746910095215,31.4980907440186,12
"82",2,0,0,1,0,0,1,0,30,17,1,0,1,51,40,29.3989200592041,58.7978401184082,29.3989200592041,12
"83",3,1,0,0,0,1,0,0,28,20,1,0,1,44,40,10.5063600540161,39.9052810668945,29.3989200592041,14
"84",3,1,1,0,1,1,1,0,31,22,1,0,1,16,40,2.10966992378235,31.5085906982422,29.3989200592041,12
"85",3,1,1,0,1,1,1,0,28,20,1,0,1,22,35,4.75463008880615,40.451057434082,35.6964416503906,14
"86",2,0,0,1,0,0,1,0,26,22,1,0,0,0,0,0,36.2841911315918,36.2841911315918,14
"87",2,0,0,1,0,0,1,0,27,21,1,0,1,50,40,16.8038806915283,42.0044403076172,25.2005805969238,12
"88",2,0,0,0,0,1,0,0,29,22,1,0,0,0,0,0,18.9030513763428,18.9030513763428,12
"89",2,0,0,0,0,1,0,0,27,19,1,0,1,52,38,11.576940536499,45.7409706115723,34.1640319824219,12
"90",3,1,0,1,0,0,1,0,35,24,1,0,1,50,40,19.9526405334473,24.6862697601318,4.73362970352173,16
"91",4,1,1,0,1,1,1,0,32,17,1,0,1,32,40,16.4890003204346,39.5904083251953,23.101390838623,12
"92",2,0,1,0,1,1,1,0,25,16,1,0,1,52,30,24.7072696685791,54.1166915893555,39.9157829284668,12
"93",3,1,0,0,0,1,0,0,26,17,1,0,0,0,0,0,8.34420967102051,8.34420967102051,12
"94",3,1,0,0,1,0,0,0,23,17,1,0,1,40,9,2.73941993713379,19.7532215118408,17.013801574707,10
"95",2,0,1,0,1,1,1,0,35,22,0,1,1,50,40,20.2675189971924,49.4460296630859,29.1784992218018,15
"96",2,0,0,1,0,0,1,0,31,20,1,0,1,48,40,17.8534698486328,30.8578395843506,13.0043802261353,13
"97",3,1,0,1,0,0,1,0,30,19,1,0,1,32,8,5.04850959777832,5.04850959777832,0,12
"98",3,1,0,1,0,0,1,0,30,22,0,1,1,24,40,8.19726943969727,21.6844501495361,13.487190246582,14
"99",2,0,0,1,0,0,1,0,29,24,1,0,1,52,40,16.8038806915283,52.5003089904785,35.6964416503906,15
"100",3,1,0,0,0,1,0,0,32,21,1,0,1,52,40,21.0022201538086,42.0044403076172,21.0022201538086,15
"101",3,1,0,0,0,1,0,0,28,22,1,0,1,40,40,14.2848796844482,43.127498626709,28.8426399230957,14
"102",5,1,0,1,0,0,1,0,35,17,1,0,0,0,0,0,45.3421287536621,45.3421287536621,11
"103",3,1,0,0,1,0,0,0,29,17,1,0,1,52,40,8.40719032287598,35.7069396972656,27.2997493743896,13
"104",2,0,0,0,1,0,0,0,24,19,1,0,1,26,80,4.92256021499634,32.2223091125488,27.2997493743896,14
"105",3,1,0,1,0,0,1,0,34,24,1,0,1,30,40,3.22222995758057,23.2378406524658,20.0156097412109,12
"106",2,0,0,1,0,0,1,0,27,23,1,0,1,12,22,2.10966992378235,33.786190032959,31.6765193939209,14
"107",2,0,0,0,0,1,0,0,31,21,1,0,1,50,40,18.9030513763428,56.6986618041992,37.7955894470215,12
"108",2,0,1,0,1,1,1,0,29,22,1,0,1,36,40,23.101390838623,52.5003089904785,29.3989200592041,17
"109",2,0,0,1,0,0,1,0,28,21,1,0,1,52,24,12.6055307388306,22.4401607513428,9.83463001251221,13
"110",4,1,0,0,0,1,0,0,34,20,1,0,1,52,40,10.5063600540161,69.2936859130859,58.7873382568359,12
"111",2,0,0,0,0,1,0,0,23,18,1,0,0,0,0,0,31.4980907440186,31.4980907440186,12
"112",2,0,0,1,0,0,1,0,25,19,1,0,1,52,40,13.6551198959351,26.2606601715088,12.6055307388306,13
"113",2,0,0,1,0,0,1,0,30,22,1,0,1,52,40,46.192310333252,84.8485641479492,38.65625,14
"114",3,1,0,0,1,0,0,0,35,19,1,0,0,0,0,0,31.3616409301758,31.3616409301758,11
"115",3,1,1,0,1,1,1,0,30,22,1,0,1,40,15,3.15926003456116,38.8556900024414,35.6964416503906,16
"116",2,0,0,0,1,0,0,0,31,22,1,0,1,42,40,35.6964416503906,79.8000640869141,44.103630065918,14
"117",3,1,1,0,1,1,1,0,35,18,1,0,1,52,40,14.2009105682373,39.306999206543,25.1061096191406,12
"118",4,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,21.0651988983154,21.0651988983154,12
"119",2,0,0,0,1,0,0,0,30,22,1,0,1,52,40,41.9939422607422,83.9878845214844,41.9939422607422,16
"120",2,0,0,0,1,0,0,0,29,20,1,0,0,0,0,0,18.9030513763428,18.9030513763428,12
"121",2,0,0,0,0,1,0,0,30,19,1,0,1,28,32,10.5063600540161,60.8235321044922,50.3171920776367,12
"122",2,0,0,0,1,0,0,0,29,21,1,0,0,0,0,0,1.68982994556427,1.68982994556427,14
"123",3,1,0,0,1,0,0,0,31,19,1,0,1,51,40,18.2103309631348,48.8897514343262,30.6794109344482,13
"124",2,0,1,0,1,1,1,0,26,21,1,0,1,52,40,14.7047004699707,46.2027816772461,31.4980907440186,14
"125",4,1,0,0,0,1,0,0,34,21,1,0,0,0,0,0,22.0518112182617,22.0518112182617,12
"126",2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,20.8972702026367,27.4256896972656,6.52842998504639,14
"127",2,0,1,0,1,1,1,0,28,21,1,0,1,52,40,32.6316413879395,82.6444396972656,50.0127830505371,15
"128",3,1,1,0,1,1,1,0,30,21,1,0,0,0,0,0,54.5890007019043,54.5890007019043,12
"129",3,1,1,0,1,1,1,0,25,18,1,0,1,36,40,14.3898296356201,55.7540321350098,41.3641929626465,12
"130",2,0,0,1,0,0,1,0,31,20,1,0,1,42,40,14.7047004699707,38.9081611633301,24.2034702301025,15
"131",2,0,1,0,1,1,1,0,24,18,1,0,0,0,0,0,36.2946929931641,36.2946929931641,12
"132",3,1,0,0,1,0,0,0,32,22,1,0,0,0,0,0,46.192310333252,46.192310333252,12
"133",2,0,0,0,1,0,0,0,26,19,1,0,1,52,40,10.2754497528076,30.4380187988281,20.1625499725342,12
"134",2,0,1,0,1,1,1,0,34,25,1,0,1,52,40,23.101390838623,69.2936859130859,46.192310333252,12
"135",2,0,0,1,0,0,1,0,27,21,1,0,1,52,40,10.5063600540161,51.2513084411621,40.7449417114258,12
"136",3,1,1,0,1,1,1,0,30,21,1,0,1,48,38,30.4484996795654,101.568496704102,71.120002746582,16
"137",2,0,0,0,1,0,0,0,35,26,1,0,1,52,40,25.2005805969238,50.4011611938477,25.2005805969238,13
"138",2,0,0,1,0,0,1,0,32,22,1,0,1,42,15,1.68982994556427,22.6920604705811,21.0022201538086,16
"139",2,0,1,0,1,1,1,0,25,19,1,0,1,50,40,14.7047004699707,58.7978401184082,44.0931282043457,12
"140",3,1,1,0,1,1,1,0,29,23,0,1,1,16,25,2.52950000762939,79.1913146972656,76.6618118286133,12
"141",3,1,0,0,0,1,0,0,29,18,1,0,1,12,39,2.10966992378235,27.310230255127,25.2005805969238,12
"142",3,1,0,0,0,1,0,0,27,20,1,0,0,0,0,0,26.8904094696045,26.8904094696045,12
"143",2,0,0,0,1,0,0,0,27,21,1,0,0,0,0,0,27.2997493743896,27.2997493743896,11
"144",2,0,0,0,1,0,0,0,25,18,1,0,1,45,40,23.101390838623,55.4496612548828,32.3482513427734,12
"145",3,1,1,0,1,1,1,0,31,21,1,0,0,0,0,0,29.2309799194336,29.2309799194336,12
"146",2,0,0,1,0,0,1,0,31,16,1,0,1,43,32,10.5063600540161,29.9237213134766,19.4173393249512,12
"147",4,1,1,0,1,1,1,0,28,19,1,0,0,0,0,0,29.2519702911377,29.2519702911377,12
"148",3,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,46.192310333252,46.192310333252,12
"149",3,1,0,0,0,1,0,0,27,18,1,0,1,36,32,10.9261999130249,44.3030319213867,33.376838684082,14
"150",2,0,0,0,0,1,0,0,29,21,1,0,1,52,40,18.9030513763428,69.2936859130859,50.3906593322754,12
"151",2,0,0,1,0,0,1,0,24,20,1,0,1,25,40,8.40719032287598,46.2027816772461,37.7955894470215,12
"152",2,0,0,0,1,0,0,0,30,20,1,0,0,0,0,0,52.5003089904785,52.5003089904785,14
"153",3,1,1,0,1,1,1,0,28,18,0,1,0,0,0,0,0,0,11
"154",2,0,0,0,0,1,0,0,23,15,1,0,0,0,0,0,25.1166095733643,25.1166095733643,11
"155",2,0,0,1,0,0,1,0,32,27,1,0,0,0,0,0,48.910717010498,48.910717010498,17
"156",4,1,1,0,1,1,1,0,33,24,1,0,1,20,35,5.19545030593872,55.5860900878906,50.3906593322754,17
"157",2,0,1,0,1,1,1,0,33,23,1,0,1,36,35,27.2997493743896,59.6375007629395,32.3377685546875,16
"158",2,0,0,1,0,0,1,0,27,21,1,1,0,0,0,0,9.66669082641602,9.66669082641602,11
"159",3,1,1,0,1,1,1,0,35,24,1,0,1,49,21,7.21065998077393,12.574049949646,5.36338996887207,12
"160",4,1,1,0,1,1,1,0,27,17,1,0,1,37,47,18.9030513763428,53.7598075866699,34.8567504882812,13
"161",2,0,0,0,0,1,0,0,33,22,1,0,1,47,40,22.0518112182617,53.5499114990234,31.4980907440186,16
"162",7,1,0,0,1,0,0,0,29,19,1,0,1,2,32,0.74521005153656,17.5490798950195,16.8038806915283,13
"163",4,1,0,1,0,0,1,0,34,19,1,0,1,43,32,9.93958950042725,55.2397499084473,45.3001594543457,12
"164",3,1,1,0,1,1,1,0,27,16,1,0,1,40,40,7.56752014160156,36.9664421081543,29.3989200592041,12
"165",2,0,0,0,1,0,0,0,24,18,1,0,1,10,20,0.850169956684113,21.8523902893066,21.0022201538086,8
"166",5,1,0,0,1,0,0,0,30,20,1,0,1,28,10,2.10966992378235,157.438003540039,155.328247070312,14
"167",3,1,0,0,0,1,0,0,30,19,1,0,1,30,40,10.5063600540161,88.1967468261719,77.6903839111328,12
"168",3,1,0,1,0,0,1,0,29,18,1,0,1,52,40,22.0518112182617,68.2441329956055,46.192310333252,14
"169",2,0,0,0,0,1,0,0,34,23,1,0,1,52,40,33.5972518920898,79.7895660400391,46.192310333252,12
"170",2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0,54.316089630127,54.316089630127,12
"171",3,1,1,0,1,1,1,0,34,20,1,0,0,0,0,0,37.7955894470215,37.7955894470215,12
"172",2,0,0,1,0,0,1,0,23,19,1,0,1,18,40,8.40719032287598,56.6986618041992,48.2914695739746,17
"173",2,0,1,0,1,1,1,0,33,21,1,0,1,52,40,41.9939422607422,86.318000793457,44.324031829834,12
"174",2,0,0,1,0,0,1,0,30,25,0,1,0,0,0,0,39.8947830200195,39.8947830200195,12
"175",4,1,0,1,0,0,1,0,33,17,1,0,1,24,80,6.30802011489868,39.9052810668945,33.5972518920898,12
"176",4,1,0,0,1,0,0,0,30,17,1,0,0,0,0,0,40.4615592956543,40.4615592956543,11
"177",3,1,1,0,1,1,1,0,23,16,1,0,1,30,40,10.5063600540161,31.5085906982422,21.0022201538086,9
"178",3,1,0,1,0,0,1,0,27,18,1,0,0,0,0,0,74.8355026245117,74.8355026245117,12
"179",2,0,0,0,0,1,0,0,30,18,1,0,1,28,40,13.025369644165,50.831470489502,37.8060913085938,12
"180",3,1,0,0,0,1,0,0,29,19,1,0,0,0,0,0,17.6540508270264,17.6540508270264,12
"181",2,0,0,0,0,1,0,0,27,23,1,0,1,47,40,10.2964506149292,23.3218097686768,13.025369644165,12
"182",4,1,0,0,1,0,0,0,32,20,1,0,1,18,40,7.14768028259277,40.7449417114258,33.5972518920898,20
"183",3,1,0,0,1,0,0,0,31,18,1,0,1,52,40,8.40719032287598,33.6077499389648,25.2005805969238,11
"184",3,1,1,0,1,1,1,0,23,15,1,0,0,0,0,0,50.3906593322754,50.3906593322754,12
"185",3,1,0,0,1,0,0,0,31,21,1,0,1,52,40,2.52950000762939,15.1350402832031,12.6055307388306,10
"186",2,0,0,0,1,0,0,0,26,20,1,0,1,52,25,10.5063600540161,23.1118907928467,12.6055307388306,13
"187",2,0,0,0,0,1,0,0,33,20,1,0,1,52,40,32.5476684570312,70.3432464599609,37.7955894470215,18
"188",3,1,0,1,0,0,1,0,26,16,1,0,1,16,40,4.20883989334106,28.3703308105469,24.1614799499512,12
"189",2,0,0,0,1,0,0,0,31,21,1,0,1,46,40,13.9909801483154,62.2719688415527,48.2809677124023,13
"190",2,0,0,1,0,0,1,0,29,24,1,0,1,52,7,26.2501602172852,51.4507179260254,25.2005805969238,16
"191",2,0,0,0,1,0,0,0,27,22,1,0,0,0,0,0,21.9678401947021,21.9678401947021,12
"192",2,0,0,0,1,0,0,0,34,27,1,0,0,0,0,0,56.0374412536621,56.0374412536621,16
"193",2,0,0,0,0,1,0,0,27,17,1,0,1,52,40,16.8038806915283,52.5003089904785,35.6964416503906,12
"194",2,0,0,0,1,0,0,0,30,21,1,0,1,52,40,16.8038806915283,60.8969993591309,44.0931282043457,14
"195",2,0,0,0,1,0,0,0,29,18,1,0,1,52,50,46.192310333252,76.2419357299805,30.0496597290039,13
"196",2,0,0,0,1,0,0,0,35,27,1,0,1,52,40,33.8491592407227,53.6968383789062,19.8476696014404,17
"197",2,0,1,0,1,1,1,0,25,17,1,0,1,5,40,16.8038806915283,41.5846290588379,24.7807312011719,11
"198",2,0,0,0,1,0,0,0,29,19,1,0,0,0,0,0,25.2005805969238,25.2005805969238,11
"199",3,1,0,0,1,0,0,0,30,22,1,0,1,52,40,21.3170890808105,47.924129486084,26.6070194244385,14
"200",5,1,0,0,0,1,0,0,26,16,1,0,0,0,0,0,21.4325504302979,21.4325504302979,14
"201",2,0,0,1,0,0,1,0,33,17,1,0,1,52,40,41.9939422607422,69.2936859130859,27.2997493743896,12
"202",4,1,1,0,1,1,1,0,35,19,1,0,1,9,40,2.27760004997253,10.6847896575928,8.40719032287598,11
"203",2,0,0,0,0,1,0,0,33,22,1,0,0,0,0,0,16.8038806915283,16.8038806915283,12
"204",2,0,0,0,0,1,0,0,30,18,1,0,1,12,40,3.7890100479126,28.7166900634766,24.9276695251465,12
"205",4,1,0,1,0,0,1,0,26,19,1,0,1,30,40,10.5063600540161,23.6156902313232,13.1093397140503,7
"206",5,1,0,0,1,0,0,0,34,20,1,0,0,0,0,0,28.4123096466064,28.4123096466064,11
"207",4,1,0,0,1,0,0,0,27,16,1,0,1,15,40,3.03330016136169,19.8371887207031,16.8038806915283,7
"208",3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,8.09230995178223,8.09230995178223,12
"209",3,1,0,0,1,0,0,0,33,23,1,0,1,52,40,14.5577697753906,23.8570899963379,9.29934024810791,13
"210",4,1,0,0,0,1,0,0,28,19,1,0,0,0,0,0,18.9030513763428,18.9030513763428,10
"211",3,1,0,0,1,0,0,0,24,15,1,0,1,12,30,0.955119967460632,13.5606603622437,12.6055307388306,8
"212",3,1,0,0,1,0,0,0,28,18,1,0,1,43,40,10.5063600540161,35.7069396972656,25.2005805969238,12
"213",3,1,0,0,1,0,0,0,27,20,1,0,0,0,0,0,8.40719032287598,8.40719032287598,10
"214",3,1,1,0,1,1,1,0,27,16,1,0,1,24,34,4.20883989334106,37.8165893554688,33.6077499389648,13
"215",2,0,0,0,0,1,0,0,33,23,1,0,1,52,40,11.7658700942993,55.3551902770996,43.5893096923828,12
"216",3,1,1,0,1,1,1,0,23,18,1,0,1,48,40,21.0022201538086,44.103630065918,23.101390838623,12
"217",4,1,0,0,1,0,0,0,30,21,1,0,1,20,5,1.89974999427795,3.79949998855591,1.89974999427795,12
"218",5,1,0,0,0,1,0,0,23,16,1,0,1,26,40,0.640250027179718,11.1466102600098,10.5063600540161,10
"219",3,1,0,0,0,1,0,0,31,16,1,0,1,52,40,8.40719032287598,35.7069396972656,27.2997493743896,10
"220",6,1,0,0,0,1,0,0,35,21,1,0,1,52,40,18.9030513763428,43.0540313720703,24.1509799957275,10
"221",2,0,0,0,1,0,0,0,31,20,1,0,1,52,72,20.7503299713135,52.4163398742676,31.6660289764404,11
"222",2,0,0,0,0,1,0,0,31,25,1,0,0,0,0,0,8.2077693939209,8.2077693939209,12
"223",3,1,1,0,1,1,1,0,25,18,1,0,0,0,0,0,46.192310333252,46.192310333252,11
"224",5,1,0,0,1,0,0,0,31,16,1,0,0,0,0,0,12.521559715271,12.521559715271,10
"225",3,1,1,0,1,1,1,0,32,16,1,0,1,52,40,21.0022201538086,60.8969993591309,39.8947830200195,10
"226",2,0,0,0,0,1,0,0,26,16,1,0,1,52,40,18.9030513763428,42.0044403076172,23.101390838623,10
"227",3,1,0,0,1,0,0,0,28,20,1,0,1,52,30,12.6055307388306,27.7300796508789,15.1245403289795,12
"228",5,1,0,1,0,0,1,0,31,23,1,0,0,0,0,0,18.9030513763428,18.9030513763428,7
"229",2,0,0,0,1,0,0,0,22,18,1,0,1,52,40,11.3460302352905,49.1521301269531,37.8060913085938,12
"230",4,1,1,0,1,1,1,0,33,15,1,0,0,0,0,0,0,0,8
"231",3,1,1,0,1,1,1,0,29,19,1,0,1,6,40,0.430329978466034,35.5494995117188,35.1191596984863,15
"232",2,0,0,1,0,0,1,0,28,22,1,0,1,30,40,8.13430023193359,30.7738800048828,22.6395797729492,13
"233",2,0,0,0,1,0,0,0,29,20,1,0,1,37,40,28.6012306213379,62.6708068847656,34.0695571899414,18
"234",2,0,0,0,1,0,0,0,26,22,1,0,1,50,32,9.98155975341797,32.2643013000488,22.2827205657959,12
"235",2,0,1,0,1,1,1,0,25,21,1,0,0,0,0,0,21.2121410369873,21.2121410369873,12
"236",2,0,0,0,0,1,0,0,35,24,1,0,1,36,35,28.3493309020996,49.3515586853027,21.0022201538086,18
"237",5,1,0,1,0,0,1,0,24,17,1,0,0,0,0,0,18.9030513763428,18.9030513763428,11
"238",2,0,1,0,1,1,1,0,24,15,1,0,1,52,32,13.6551198959351,39.1390571594238,25.4839496612549,12
"239",3,1,1,0,1,1,1,0,27,16,1,0,1,9,40,2.46653008460999,2.77091002464294,0.304379999637604,9
"240",4,1,1,0,1,1,1,0,31,19,1,0,1,42,40,9.4567699432373,14.379340171814,4.92256021499634,11
"241",2,0,0,1,0,0,1,0,22,17,1,0,1,47,40,10.8632192611694,32.1488304138184,21.2856101989746,12
"242",5,1,0,0,1,0,0,0,26,17,1,0,0,0,0,0,3.7890100479126,3.7890100479126,8
"243",5,1,1,0,1,1,1,0,32,17,1,0,0,0,0,0,41.9939422607422,41.9939422607422,10
