"","term","sat","tothrs","cumgpa","major","season","frstsem","crsgpa","crspop","verbmath","trmgpa","hssize","race","hsrank","sport","id","spring","female","black","white","ctrmgpa","ctothrs","ccrsgpa","ccrspop","cseason","hsperc"
"19",8808,730,34,1.97000002861023,531,1,0,2.7985999584198,1126,0.780489981174469,1.75,482,2,273,"football",428,0,0,1,0,NA,NA,NA,NA,NA,56.6390037536621
"20",8901,730,50,1.89999997615814,531,0,0,2.86960005760193,1140.5,0.780489981174469,2.5,482,2,273,"football",428,1,0,1,0,0.75,16,0.0710000991821289,14.5,-1,56.6390037536621
"21",8808,780,59,2.38000011444092,520,1,0,2.89549994468689,972,0.695649981498718,2.5,78,6,17,"football",452,0,0,0,1,NA,NA,NA,NA,NA,21.7948722839355
"22",8901,780,71,2.40000009536743,520,0,0,2.75550007820129,754.669982910156,0.695649981498718,2.32999992370605,78,6,17,"football",452,1,0,0,1,-0.170000076293945,12,-0.139999866485596,-217.330017089844,-1,21.7948722839355
"23",8808,830,62,2.00999999046326,538,1,0,2.94199991226196,920.25,1.02438998222351,1.75,196,2,54,"bball",477,0,0,1,0,NA,NA,NA,NA,NA,27.5510196685791
"24",8901,830,74,1.97000002861023,538,1,0,2.63980007171631,380,1.02438998222351,1.39999997615814,196,2,54,"bball",477,1,0,1,0,-0.350000023841858,12,-0.302199840545654,-540.25,0,27.5510196685791
"25",8808,710,120,2.01999998092651,675,1,0,2.61980009078979,305.75,1.08824002742767,0.5,300,2,226,"football",509,0,0,1,0,NA,NA,NA,NA,NA,75.3333358764648
"26",8901,710,132,1.87999999523163,675,0,0,3.01749992370605,192,1.08824002742767,1.08000004291534,300,2,226,"football",509,1,0,1,0,0.580000042915344,12,0.39769983291626,-113.75,-1,75.3333358764648
"27",8808,980,35,2.07999992370605,375,1,0,2.40580010414124,982,0.921570003032684,1.75,152,2,45,"football",513,0,0,1,0,NA,NA,NA,NA,NA,29.6052627563477
"28",8901,980,47,2,375,0,0,2.83789992332458,883,0.921570003032684,2.10999989509583,152,2,45,"football",513,1,0,1,0,0.359999895095825,12,0.43209981918335,-99,-1,29.6052627563477
"29",8808,740,93,2,538,1,0,2.42499995231628,483.75,0.897440016269684,1.25,312,2,161,"football",528,0,0,1,0,NA,NA,NA,NA,NA,51.6025657653809
"30",8901,740,105,1.9099999666214,538,0,0,2.88059997558594,134,0.897440016269684,1.5,312,2,161,"football",528,1,0,1,0,0.25,12,0.455600023269653,-349.75,-1,51.6025657653809
"31",8808,1180,93,3.02999997138977,517,1,0,2.9096999168396,294.5,0.873019993305206,2.75,637,6,255,"swim",552,0,0,0,1,NA,NA,NA,NA,NA,40.0313987731934
"32",8901,1180,105,3,517,1,0,2.57979989051819,188,0.873019993305206,3,637,6,255,"swim",552,1,0,0,1,0.25,12,-0.329900026321411,-106.5,0,40.0313987731934
"33",8808,700,26,2.33999991416931,319,1,0,3.12490010261536,843,1,2.5,32,6,22,"bball",628,0,0,0,1,NA,NA,NA,NA,NA,68.75
"34",8901,700,38,2.39000010490417,319,1,0,2.94180011749268,805,1,1.60000002384186,32,6,22,"bball",628,1,0,0,1,-0.899999976158142,12,-0.183099985122681,-38,0,68.75
"35",8808,520,72,1.58000004291534,960,1,0,2.83459997177124,194.75,1,2.25,462,6,358,"football",648,0,0,0,1,NA,NA,NA,NA,NA,77.4891738891602
"36",8901,520,84,1.66999995708466,960,0,0,3.21810007095337,502.799987792969,1,2,462,6,358,"football",648,1,0,0,1,-0.25,12,0.383500099182129,308.049987792969,-1,77.4891738891602
"37",8808,720,39,1.75999999046326,505,1,0,2.59759998321533,1339.75,0.846149981021881,1.25,283,2,76,"football",657,0,0,1,0,NA,NA,NA,NA,NA,26.8551235198975
"38",8901,720,51,1.63999998569489,531,0,0,2.89630007743835,1350.19995117188,0.846149981021881,1.60000002384186,283,2,76,"football",657,1,0,1,0,0.350000023841858,12,0.298700094223022,10.449951171875,-1,26.8551235198975
"39",8808,940,0,0,660,1,1,2.68090009689331,812.669982910156,0.773580014705658,2.63000011444092,194,6,85,"vball",684,0,1,0,1,NA,NA,NA,NA,NA,43.8144340515137
"40",8901,940,17,2.57999992370605,660,0,0,2.74550008773804,1150.32995605469,0.773580014705658,2.63000011444092,194,6,85,"vball",684,1,1,0,1,0,17,0.0645999908447266,337.659973144531,-1,43.8144340515137
"41",8808,960,0,0,517,1,1,2.92379999160767,1154.43005371094,0.777779996395111,2.05999994277954,447,2,320,"football",686,0,0,1,0,NA,NA,NA,NA,NA,71.5883636474609
"42",8901,960,15,2.32999992370605,517,0,0,2.519700050354,1723.67004394531,0.777779996395111,1.33000004291534,447,2,320,"football",686,1,0,1,0,-0.729999899864197,15,-0.404099941253662,569.239990234375,-1,71.5883636474609
"43",8808,870,27,2.02999997138977,531,1,0,2.84279990196228,664,0.851059973239899,2.07999992370605,371,6,259,"swim",692,0,0,0,1,NA,NA,NA,NA,NA,69.8113174438477
"44",8901,870,40,2.04999995231628,531,1,0,2.84710001945496,721.330017089844,0.851059973239899,1.28999996185303,371,6,259,"swim",692,1,0,0,1,-0.789999961853027,13,0.00430011749267578,57.3300170898438,0,69.8113174438477
"45",8808,890,25,2.44000005722046,960,1,0,2.62890005111694,527.5,0.779999971389771,2.5,124,6,50,"soccer",697,0,0,0,1,NA,NA,NA,NA,NA,40.322582244873
"46",8901,890,37,2.45000004768372,960,0,0,2.95479989051819,635.75,0.779999971389771,3,124,6,50,"soccer",697,1,0,0,1,0.5,12,0.325899839401245,108.25,-1,40.322582244873
"47",8808,840,85,2.0699999332428,531,0,0,2.7163999080658,567.799987792969,1,2,116,6,16,"baseball",706,0,0,0,1,NA,NA,NA,NA,NA,13.7931032180786
"48",8901,840,100,2.05999994277954,531,1,0,2.644700050354,352.570007324219,1,2.28999996185303,116,6,16,"baseball",706,1,0,0,1,0.289999961853027,15,-0.071699857711792,-215.22998046875,1,13.7931032180786
"49",8808,810,30,2.70000004768372,601,1,0,2.51049995422363,1061,1.07692003250122,2.5,227,6,56,"vball",744,0,1,0,1,NA,NA,NA,NA,NA,24.6696033477783
"50",8901,810,42,2.64000010490417,347,0,0,3.22270011901855,633.599975585938,1.07692003250122,2.84999990463257,227,6,56,"vball",744,1,1,0,1,0.349999904632568,12,0.712200164794922,-427.400024414062,-1,24.6696033477783
"51",8808,820,31,2.22000002861023,640,1,0,2.79780006408691,519.330017089844,1.10256004333496,2.32999992370605,571,5,344,"soccer",759,0,0,0,0,NA,NA,NA,NA,NA,60.2451820373535
"52",8901,820,40,2.25,640,0,0,2.8461000919342,966.400024414062,1.10256004333496,3,571,5,344,"soccer",759,1,0,0,0,0.670000076293945,9,0.04830002784729,447.070007324219,-1,60.2451820373535
"53",8808,970,23,2.85999989509583,531,0,0,2.57710003852844,1019.59997558594,0.672410011291504,1.75,566,6,83,"baseball",771,0,0,0,1,NA,NA,NA,NA,NA,14.6643114089966
"54",8901,970,39,2.41000008583069,531,1,0,2.87630009651184,1112.75,0.672410011291504,2,566,6,83,"baseball",771,1,0,0,1,0.25,16,0.299200057983398,93.1500244140625,1,14.6643114089966
"55",8808,790,0,0,635,1,1,2.70250010490417,1384.17004394531,1.07895004749298,2.8199999332428,597,6,72,"football",792,0,0,0,1,NA,NA,NA,NA,NA,12.0603017807007
"56",8901,790,17,2.8199999332428,635,0,0,2.63709998130798,1022.25,1.07895004749298,1.75,597,6,72,"football",792,1,0,0,1,-1.0699999332428,17,-0.0654001235961914,-361.920043945312,-1,12.0603017807007
"57",8808,800,0,0,310,1,1,2.66479992866516,1246.40002441406,0.818180024623871,2.13000011444092,310,6,95,"bball",798,0,1,0,1,NA,NA,NA,NA,NA,30.6451606750488
"58",8901,800,13,2.15000009536743,310,1,0,2.7441999912262,1057,0.818180024623871,2.64000010490417,310,6,95,"bball",798,1,1,0,1,0.509999990463257,13,0.0794000625610352,-189.400024414062,0,30.6451606750488
"59",8808,680,33,2.9300000667572,538,1,0,2.89939999580383,1169.17004394531,0.743589997291565,2.55999994277954,328,6,122,"bball",806,0,1,0,1,NA,NA,NA,NA,NA,37.1951217651367
"60",8901,680,49,2.80999994277954,538,1,0,2.48090004920959,901.75,0.743589997291565,2,328,6,122,"bball",806,1,1,0,1,-0.559999942779541,16,-0.418499946594238,-267.420043945312,0,37.1951217651367
"61",8808,850,0,0,353,1,1,2.83279991149902,1187.5,0.808510005474091,2.71000003814697,73,6,5,"bball",809,0,1,0,1,NA,NA,NA,NA,NA,6.84931516647339
"62",8901,850,15,2.66000008583069,353,1,0,2.72259998321533,1221.19995117188,0.808510005474091,3.0699999332428,73,6,5,"bball",809,1,1,0,1,0.359999895095825,15,-0.110199928283691,33.699951171875,0,6.84931516647339
"63",8808,820,80,2.26999998092651,531,0,0,2.89790010452271,504,0.708329975605011,2.20000004768372,131,6,98,"golf",823,0,0,0,1,NA,NA,NA,NA,NA,74.8091583251953
"64",8901,820,95,2.25999999046326,531,1,0,2.94919991493225,283.799987792969,0.708329975605011,2,131,6,98,"golf",823,1,0,0,1,-0.200000047683716,15,0.0512998104095459,-220.200012207031,1,74.8091583251953
"65",8808,1120,0,0,531,1,1,2.16829991340637,1592.32995605469,0.671639978885651,2.32999992370605,488,6,20,"swim",828,0,0,0,1,NA,NA,NA,NA,NA,4.09836053848267
"66",8901,1120,12,2.32999992370605,531,1,0,2.50110006332397,1562,0.671639978885651,2.25,488,6,20,"swim",828,1,0,0,1,-0.0799999237060547,12,0.332800149917603,-30.3299560546875,0,4.09836053848267
"67",8808,450,1,4,317,1,0,2.91880011558533,641.669982910156,0.800000011920929,1.42999994754791,118,2,46,"football",831,0,0,1,0,NA,NA,NA,NA,NA,38.9830513000488
"68",8901,450,13,1.69000005722046,317,0,0,2.70770001411438,590.200012207031,0.800000011920929,1.78999996185303,118,2,46,"football",831,1,0,1,0,0.360000014305115,12,-0.211100101470947,-51.469970703125,-1,38.9830513000488
"69",8808,880,26,2.33999991416931,665,1,0,3.17199993133545,462,1.0952399969101,2.41000008583069,407,6,70,"track",836,0,1,0,1,NA,NA,NA,NA,NA,17.1990165710449
"70",8901,880,43,2.36999988555908,665,1,0,2.7853000164032,393.5,1.0952399969101,2.5,407,6,70,"track",836,1,1,0,1,0.0899999141693115,17,-0.386699914932251,-68.5,0,17.1990165710449
"71",8808,1010,28,1.5,314,1,0,2.80469989776611,825.75,1.14893996715546,1.26999998092651,106,6,55,"wrestlin",863,0,0,0,1,NA,NA,NA,NA,NA,51.886791229248
"72",8901,1010,42,1.33000004291534,314,0,0,2.67470002174377,1075,1.14893996715546,2.5,106,6,55,"wrestlin",863,1,0,0,1,1.23000001907349,14,-0.129999876022339,249.25,-1,51.886791229248
"73",8808,920,0,0,601,0,1,2.33730006217957,1082.25,1.04444003105164,1.86000001430511,149,6,91,"baseball",872,0,0,0,1,NA,NA,NA,NA,NA,61.0738258361816
"74",8901,920,12,1.6599999666214,601,1,0,2.79250001907349,1308.40002441406,1.04444003105164,2.84999990463257,149,6,91,"baseball",872,1,0,0,1,0.989999890327454,12,0.455199956893921,226.150024414062,1,61.0738258361816
"75",8808,830,70,1.9099999666214,314,1,0,2.90470004081726,705.5,0.84443998336792,2.79999995231628,200,2,84,"bball",889,0,0,1,0,NA,NA,NA,NA,NA,42
"76",8901,830,83,1.95000004768372,314,1,0,3.07329988479614,361.5,0.84443998336792,1.60000002384186,200,2,84,"bball",889,1,0,1,0,-1.19999992847443,13,0.168599843978882,-344,0,42
"77",8808,590,37,2.1800000667572,960,1,0,2.54130005836487,1103,0.68571001291275,0.5,480,2,337,"football",910,0,0,1,0,NA,NA,NA,NA,NA,70.2083358764648
"78",8901,590,49,1.76999998092651,317,0,0,2.68300008773804,928.5,0.68571001291275,1.75,480,2,337,"football",910,1,0,1,0,1.25,12,0.141700029373169,-174.5,-1,70.2083358764648
"79",8808,500,0,0,960,1,1,2.86500000953674,732.830017089844,1.27272999286652,1.21000003814697,457,6,329,"bball",911,0,0,0,1,NA,NA,NA,NA,NA,71.9912490844727
"80",8901,500,14,1.21000003814697,960,1,0,2.88750004768372,727.669982910156,1.27272999286652,1.62000000476837,457,6,329,"bball",911,1,0,0,1,0.409999966621399,14,0.0225000381469727,-5.1600341796875,0,71.9912490844727
"81",8808,1050,57,2.60999989509583,531,1,0,2.62490010261536,752.330017089844,1.05882000923157,2.80999994277954,160,6,98,"soccer",916,0,0,0,1,NA,NA,NA,NA,NA,61.25
"82",8901,1050,73,2.69000005722046,531,0,0,3.08540010452271,274.399993896484,1.05882000923157,3.35999989509583,160,6,98,"soccer",916,1,0,0,1,0.549999952316284,16,0.460500001907349,-477.930023193359,-1,61.25
"83",8808,570,67,1.86000001430511,531,1,0,2.74550008773804,948.75,0.965520024299622,1,324,2,187,"football",942,0,0,1,0,NA,NA,NA,NA,NA,57.7160491943359
"84",8901,570,79,1.73000001907349,531,0,0,2.62829995155334,1377.75,0.965520024299622,0.75,324,2,187,"football",942,1,0,1,0,-0.25,12,-0.117200136184692,429,-1,57.7160491943359
"85",8808,970,64,3.1800000667572,517,1,0,2.60960006713867,510,0.763639986515045,3.40000009536743,5,6,1,"swim",1077,0,1,0,1,NA,NA,NA,NA,NA,20
"86",8901,970,79,3.22000002861023,517,1,0,2.68449997901917,320.170013427734,0.763639986515045,3.17000007629395,5,6,1,"swim",1077,1,1,0,1,-0.230000019073486,15,0.0748999118804932,-189.829986572266,0,20
"87",8808,650,40,2.25,960,1,0,2.63150000572205,1128.5,0.805559992790222,2,206,6,57,"football",1094,0,0,0,1,NA,NA,NA,NA,NA,27.6699028015137
"88",8901,650,52,2.19000005722046,960,0,0,2.83640003204346,625.75,0.805559992790222,2.25,206,6,57,"football",1094,1,0,0,1,0.25,12,0.204900026321411,-502.75,-1,27.6699028015137
"89",8808,1140,56,2.67000007629395,353,1,0,2.78509998321533,452,0.583329975605011,2.40000009536743,241,6,24,"soccer",1128,0,0,0,1,NA,NA,NA,NA,NA,9.95850658416748
"90",8901,1140,71,2.60999989509583,353,0,0,2.85279989242554,371.600006103516,0.583329975605011,2.38000011444092,241,6,24,"soccer",1128,1,0,0,1,-0.0199999809265137,15,0.0676999092102051,-80.3999938964844,-1,9.95850658416748
"91",8808,1180,69,2.98000001907349,216,1,0,2.92199993133545,376.200012207031,1.18518996238708,3.47000002861023,469,6,36,"soccer",1141,0,0,0,1,NA,NA,NA,NA,NA,7.67590618133545
"92",8901,1180,87,3.08999991416931,216,0,0,2.94569993019104,182.199996948242,1.18518996238708,3.11999988555908,469,6,36,"soccer",1141,1,0,0,1,-0.350000143051147,18,0.0236999988555908,-194.000015258789,-1,7.67590618133545
"93",8808,770,16,1.87000000476837,601,1,0,2.89869999885559,338.329986572266,0.833329975605011,2,486,6,397,"wrestlin",1157,0,0,0,1,NA,NA,NA,NA,NA,81.6872406005859
"94",8901,770,25,1.91999995708466,601,0,0,3.0706000328064,212.330001831055,0.833329975605011,2,486,6,397,"wrestlin",1157,1,0,0,1,0,9,0.171900033950806,-125.999984741211,-1,81.6872406005859
"95",8808,960,0,0,538,1,1,2.52020001411438,1266.32995605469,0.882350027561188,3.47000002861023,430,6,65,"swim",1185,0,1,0,1,NA,NA,NA,NA,NA,15.1162786483765
"96",8901,960,16,3.55999994277954,538,1,0,2.69869995117188,1475.82995605469,0.882350027561188,3.80999994277954,430,6,65,"swim",1185,1,1,0,1,0.339999914169312,16,0.178499937057495,209.5,0,15.1162786483765
"97",8808,720,0,0,960,0,1,2.67840003967285,934.5,0.945949971675873,2,430,4,230,"tennis",1187,0,1,0,0,NA,NA,NA,NA,NA,53.4883728027344
"98",8901,720,16,1.92999994754791,960,1,0,2.73740005493164,1030,0.945949971675873,2.23000001907349,430,4,230,"tennis",1187,1,1,0,0,0.230000019073486,16,0.0590000152587891,95.5,1,53.4883728027344
"99",8808,750,0,0,960,0,1,2.96919989585876,694.830017089844,1.08333003520966,1.91999995708466,341,6,270,"baseball",1204,0,0,0,1,NA,NA,NA,NA,NA,79.1788864135742
"100",8901,750,12,1.9099999666214,960,1,0,2.70919990539551,1147,1.08333003520966,2,341,6,270,"baseball",1204,1,0,0,1,0.0800000429153442,12,-0.259999990463257,452.169982910156,1,79.1788864135742
"101",8808,960,32,2.90000009536743,538,1,0,2.78920006752014,992.799987792969,0.882350027561188,3.30999994277954,10,6,3,"swim",1277,0,1,0,1,NA,NA,NA,NA,NA,30
"102",8901,960,45,3.01999998092651,538,1,0,3.04550004005432,452.200012207031,0.882350027561188,3.76999998092651,10,6,3,"swim",1277,1,1,0,1,0.460000038146973,13,0.25629997253418,-540.599975585938,0,30
"103",8808,970,67,2.03999996185303,420,1,0,2.69749999046326,727.5,0.732140004634857,2,10,6,3,"football",1315,0,0,0,1,NA,NA,NA,NA,NA,30
"104",8901,970,79,2.02999997138977,420,0,0,2.70219993591309,638.830017089844,0.732140004634857,2.28999996185303,10,6,3,"football",1315,1,0,0,1,0.289999961853027,12,0.0046999454498291,-88.6699829101562,-1,30
"105",8808,1070,62,2.11999988555908,445,1,0,2.94359993934631,441.5,0.783330023288727,1.85000002384186,288,6,65,"football",1390,0,0,0,1,NA,NA,NA,NA,NA,22.5694446563721
"106",8901,1070,74,2.05999994277954,445,0,0,2.92379999160767,168.25,0.783330023288727,2,288,6,65,"football",1390,1,0,0,1,0.149999976158142,12,-0.0197999477386475,-273.25,-1,22.5694446563721
"107",8808,940,32,2.65000009536743,635,0,0,2.82480001449585,472.5,0.709089994430542,2.32999992370605,251,6,45,"baseball",1485,0,0,0,1,NA,NA,NA,NA,NA,17.9282875061035
"108",8901,940,50,2.53999996185303,635,1,0,2.86509990692139,512.830017089844,0.709089994430542,2.13000011444092,251,6,45,"baseball",1485,1,0,0,1,-0.199999809265137,18,0.0402998924255371,40.3300170898438,1,17.9282875061035
"109",8808,1100,59,2.64000010490417,635,1,0,2.88949990272522,145.75,0.803279995918274,2.5,306,6,99,"wrestlin",1640,0,0,0,1,NA,NA,NA,NA,NA,32.3529396057129
"110",8901,1100,71,2.60999989509583,635,0,0,2.73309993743896,93.5999984741211,0.803279995918274,2.07999992370605,306,6,99,"wrestlin",1640,1,0,0,1,-0.420000076293945,12,-0.156399965286255,-52.1500015258789,-1,32.3529396057129
"111",8808,1110,52,2.04999995231628,804,1,0,2.74499988555908,333.600006103516,0.947369992733002,2.15000009536743,216,6,125,"swim",1736,0,0,0,1,NA,NA,NA,NA,NA,57.8703689575195
"112",8901,1110,65,2.0699999332428,804,1,0,2.77999997138977,291.25,0.947369992733002,2.69000005722046,216,6,125,"swim",1736,1,0,0,1,0.539999961853027,13,0.0350000858306885,-42.3500061035156,0,57.8703689575195
"113",8808,860,78,1.94000005722046,531,1,0,3.18549990653992,454.399993896484,0.457630008459091,3.14000010490417,274,6,110,"swim",1750,0,0,0,1,NA,NA,NA,NA,NA,40.1459846496582
"114",8901,860,92,2.13000011444092,531,1,0,2.69199991226196,399.25,0.457630008459091,2.75,274,6,110,"swim",1750,1,0,0,1,-0.390000104904175,14,-0.493499994277954,-55.1499938964844,0,40.1459846496582
"115",8808,1110,29,3.85999989509583,665,1,0,3.03309988975525,532.200012207031,0.913789987564087,3.63000011444092,48,6,20,"swim",1863,0,1,0,1,NA,NA,NA,NA,NA,41.6666679382324
"116",8901,1110,45,3.76999998092651,665,1,0,2.65939998626709,78.75,0.913789987564087,3.69000005722046,48,6,20,"swim",1863,1,1,0,1,0.059999942779541,16,-0.373699903488159,-453.450012207031,0,41.6666679382324
"117",8808,850,87,2.00999999046326,960,1,0,3.24869990348816,221.669998168945,1.02381002902985,1.94000005722046,244,6,146,"vball",1903,0,1,0,1,NA,NA,NA,NA,NA,59.836067199707
"118",8901,850,103,2,960,0,0,3.13779997825623,30.7999992370605,1.02381002902985,2.59999990463257,244,6,146,"vball",1903,1,1,0,1,0.659999847412109,16,-0.110899925231934,-190.869995117188,-1,59.836067199707
"119",8808,750,0,0,314,1,1,2.4407000541687,1183,1.08333003520966,1.26999998092651,48,6,26,"swim",1984,0,1,0,1,NA,NA,NA,NA,NA,54.1666679382324
"120",8901,750,12,1.4099999666214,960,1,0,3.03320002555847,1118.5,1.08333003520966,2.75,48,6,26,"swim",1984,1,1,0,1,1.48000001907349,12,0.592499971389771,-64.5,0,54.1666679382324
"121",8808,840,0,0,601,1,1,2.50650000572205,1021.66998291016,0.787230014801025,2,48,6,32,"swim",1986,0,1,0,1,NA,NA,NA,NA,NA,66.6666641235352
"122",8901,840,16,2.11999988555908,601,1,0,2.8850998878479,917.200012207031,0.787230014801025,2.30999994277954,48,6,32,"swim",1986,1,1,0,1,0.309999942779541,16,0.378599882125854,-104.469970703125,0,66.6666641235352
"123",8808,1050,0,0,531,1,1,2.38479995727539,1138.59997558594,0.75,1.79999995231628,620,6,266,"swim",2001,0,0,0,1,NA,NA,NA,NA,NA,42.9032249450684
"124",8901,1050,15,1.79999995231628,531,1,0,2.53900003433228,1132.19995117188,0.75,1.23000001907349,620,6,266,"swim",2001,1,0,0,1,-0.569999933242798,15,0.154200077056885,-6.4000244140625,0,42.9032249450684
"125",8808,890,29,2.17000007629395,601,1,0,2.82669997215271,543.330017089844,0.854170024394989,2.5,550,6,114,"swim",2014,0,1,0,1,NA,NA,NA,NA,NA,20.7272720336914
"126",8901,890,43,2.26999998092651,640,1,0,2.98469996452332,693.799987792969,0.854170024394989,2.61999988555908,550,6,114,"swim",2014,1,1,0,1,0.119999885559082,14,0.157999992370605,150.469970703125,0,20.7272720336914
"127",8808,890,63,1.92999994754791,675,1,0,2.94970011711121,337.5,1.22500002384186,2.25,768,6,451,"swim",2046,0,1,0,1,NA,NA,NA,NA,NA,58.7239570617676
"128",8901,890,75,1.98000001907349,675,1,0,2.99810004234314,276.799987792969,1.22500002384186,2.94000005722046,768,6,451,"swim",2046,1,1,0,1,0.690000057220459,12,0.0483999252319336,-60.7000122070312,0,58.7239570617676
"129",8808,830,26,1.64999997615814,960,1,0,2.43869996070862,551,0.930230021476746,1.71000003814697,161,6,147,"soccer",2101,0,0,0,1,NA,NA,NA,NA,NA,91.3043441772461
"130",8901,830,40,1.66999995708466,960,0,0,2.84980010986328,218,0.930230021476746,2.71000003814697,161,6,147,"soccer",2101,1,0,0,1,1,14,0.411100149154663,-333,-1,91.3043441772461
"131",8808,850,0,0,517,1,1,2.70770001411438,1245,1.02381002902985,2.40000009536743,179,6,153,"soccer",2103,0,0,0,1,NA,NA,NA,NA,NA,85.4748611450195
"132",8901,850,11,1.80999994277954,640,0,0,2.88809990882874,758.25,1.02381002902985,1.73000001907349,179,6,153,"soccer",2103,1,0,0,1,-0.670000076293945,11,0.180399894714355,-486.75,-1,85.4748611450195
"133",8808,770,0,0,999,1,1,2.74440002441406,1328.82995605469,0.878050029277802,2.30999994277954,620,6,461,"football",2107,0,0,0,1,NA,NA,NA,NA,NA,74.3548355102539
"134",8901,770,15,2.46000003814697,999,0,0,2.92799997329712,1074.40002441406,0.878050029277802,2.30999994277954,620,6,461,"football",2107,1,0,0,1,0,15,0.183599948883057,-254.429931640625,-1,74.3548355102539
"135",8808,910,39,2.4300000667572,538,1,0,2.90269994735718,738.200012207031,0.895829975605011,2.53999996185303,386,2,190,"football",2333,0,0,1,0,NA,NA,NA,NA,NA,49.2227973937988
"136",8901,910,52,2.46000003814697,538,0,0,2.46099996566772,698.75,0.895829975605011,2.25,386,2,190,"football",2333,1,0,1,0,-0.289999961853027,13,-0.441699981689453,-39.4500122070312,-1,49.2227973937988
"137",8808,910,0,0,402,1,1,2.77360010147095,962.830017089844,0.819999992847443,0.430000007152557,563,6,328,"swim",2395,0,0,0,1,NA,NA,NA,NA,NA,58.2593269348145
"138",8901,910,15,0.600000023841858,601,1,0,2.41969990730286,1218,0.819999992847443,1.57000005245209,563,6,328,"swim",2395,1,0,0,1,1.14000010490417,15,-0.353900194168091,255.169982910156,0,58.2593269348145
"139",8808,1110,30,2.66000008583069,665,1,0,2.74690008163452,389.799987792969,0.790319979190826,2.69000005722046,4,6,2,"swim",2470,0,1,0,1,NA,NA,NA,NA,NA,50
