"","mnthborn","yearborn","age","electric","radio","tv","bicycle","educ","ceb","agefbrth","children","knowmeth","usemeth","monthfm","yearfm","agefm","idlnchld","heduc","agesq","urban","urb_educ","spirit","protest","catholic","frsthalf","educ0","evermarr","educ7"
"60",7,58,30,0,1,0,0,7,1,17,0,1,1,9,76,18,3,8,900,1,7,0,0,1,0,0,1,1
"61",8,42,46,1,1,0,0,5,5,21,5,1,1,NA,NA,NA,6,NA,2116,1,5,0,1,0,0,0,0,0
"62",6,52,36,1,1,1,1,12,5,20,5,1,1,9,72,20,3,12,1296,1,12,0,1,0,1,0,1,1
"63",12,42,45,1,1,1,1,3,0,NA,0,1,1,11,62,19,2,NA,2025,1,3,0,1,0,0,0,1,0
"64",3,46,42,1,1,1,1,10,3,20,3,1,1,4,85,39,4,12,1764,1,10,0,1,0,1,0,1,1
"65",2,72,16,1,1,1,1,8,1,16,1,1,0,NA,NA,NA,4,NA,256,1,8,1,0,0,1,0,0,1
"66",7,44,44,1,1,1,0,10,4,26,4,1,0,2,70,25,4,12,1936,1,10,0,0,1,0,0,1,1
"67",12,70,17,1,1,1,0,11,0,NA,0,1,0,NA,NA,NA,2,NA,289,1,11,0,0,1,0,0,0,1
"68",10,73,15,1,1,1,0,8,0,NA,0,1,0,NA,NA,NA,0,NA,225,1,8,0,0,1,0,0,0,1
"69",2,66,22,1,1,1,0,7,0,NA,0,1,1,NA,NA,NA,3,NA,484,1,7,0,1,0,1,0,0,1
"70",7,59,29,1,1,0,1,7,3,17,2,1,1,NA,NA,NA,4,NA,841,1,7,0,1,0,0,0,0,1
"71",10,64,24,1,1,1,1,16,1,20,1,1,1,NA,NA,NA,3,NA,576,1,16,0,1,0,0,0,0,1
"72",11,52,36,1,1,0,0,2,1,25,0,1,0,4,88,35,4,0,1296,1,2,0,1,0,0,0,1,0
"73",10,47,41,1,1,1,1,19,3,31,3,1,1,12,74,27,3,16,1681,1,19,0,1,0,0,0,1,1
"74",10,39,49,1,0,0,0,6,2,22,2,0,0,11,61,22,2,4,2401,1,6,0,1,0,0,0,1,0
"75",8,47,41,1,0,0,0,0,2,20,2,1,0,NA,NA,NA,2,NA,1681,1,0,0,0,1,0,1,0,0
"76",4,41,47,1,1,0,1,15,2,30,2,1,1,8,62,21,2,15,2209,1,15,0,0,0,1,0,1,1
"77",9,48,40,1,1,1,1,13,2,13,2,1,1,8,69,20,2,12,1600,1,13,0,0,1,0,0,1,1
"78",1,49,39,1,1,1,0,15,4,22,3,1,1,12,71,22,4,13,1521,1,15,0,1,0,1,0,1,1
"79",7,66,22,0,0,0,0,0,2,12,1,1,0,6,87,20,5,6,484,1,0,1,0,0,0,1,1,0
"80",12,70,17,1,1,1,0,7,0,NA,0,1,1,NA,NA,NA,4,NA,289,1,7,0,0,0,0,0,0,1
"81",7,58,30,1,1,1,1,16,2,17,2,1,1,2,83,24,2,15,900,1,16,1,0,0,0,0,1,1
"82",7,52,36,1,1,1,1,14,2,23,2,1,1,10,74,22,4,10,1296,1,14,0,1,0,0,0,1,1
"83",2,61,27,1,1,1,0,10,4,17,3,1,1,2,80,19,4,10,729,1,10,0,0,0,1,0,1,1
"84",6,52,36,1,1,1,0,7,4,18,4,1,1,NA,NA,NA,6,NA,1296,1,7,0,1,0,1,0,0,1
"85",5,71,17,1,1,1,0,8,0,NA,0,1,0,NA,NA,NA,2,NA,289,1,8,0,1,0,1,0,0,1
"86",12,58,29,1,1,1,0,6,1,27,1,1,1,8,74,15,2,15,841,1,6,0,1,0,0,0,1,0
"87",8,52,36,1,1,0,0,2,2,22,2,1,1,NA,NA,NA,3,NA,1296,1,2,0,0,0,0,0,0,0
"88",9,42,46,1,1,1,1,10,5,22,5,1,1,12,66,24,4,10,2116,1,10,0,1,0,0,0,1,1
"89",10,58,30,0,0,0,0,5,3,19,3,1,1,NA,NA,NA,3,NA,900,1,5,0,1,0,0,0,0,0
"90",9,49,39,1,1,1,0,12,3,20,3,1,1,12,68,19,4,12,1521,1,12,0,0,0,0,0,1,1
"91",12,54,33,1,1,1,0,17,2,25,2,1,1,5,78,23,2,17,1089,1,17,0,0,0,0,0,1,1
"92",11,69,18,0,1,0,0,10,1,17,1,1,1,NA,NA,NA,4,NA,324,1,10,0,1,0,0,0,0,1
"93",2,60,28,1,1,1,1,11,2,22,2,1,1,5,82,22,4,12,784,1,11,0,0,1,1,0,1,1
"94",11,64,24,0,0,0,0,7,1,21,1,1,1,NA,NA,NA,4,NA,576,1,7,1,0,0,0,0,0,1
"95",5,63,25,1,1,1,0,10,3,18,3,1,1,10,87,24,3,16,625,1,10,0,1,0,1,0,1,1
"96",11,67,21,0,0,0,0,7,0,NA,0,1,1,NA,NA,NA,4,NA,441,1,7,0,1,0,0,0,0,1
"97",12,71,16,0,0,0,0,7,0,NA,0,1,1,NA,NA,NA,4,NA,256,1,7,1,0,0,0,0,0,1
"98",8,65,23,0,1,0,0,7,2,16,2,1,1,NA,NA,NA,4,NA,529,1,7,0,0,0,0,0,0,1
"99",8,63,25,0,1,0,0,10,2,16,2,1,1,NA,NA,NA,3,NA,625,1,10,0,0,0,0,0,0,1
"100",6,49,39,1,1,1,0,12,6,17,6,1,1,3,66,16,4,12,1521,1,12,0,0,0,1,0,1,1
"101",7,51,37,1,1,1,1,20,2,30,2,1,1,10,79,28,2,20,1369,1,20,0,0,0,0,0,1,1
"102",6,56,32,1,0,1,1,13,1,28,1,1,1,7,82,26,3,17,1024,1,13,0,0,1,1,0,1,1
"103",7,41,47,1,0,0,0,4,5,22,5,1,1,4,62,20,2,0,2209,1,4,1,0,0,0,0,1,0
"104",5,49,39,1,1,1,1,14,4,21,4,1,1,6,70,21,4,16,1521,1,14,0,1,0,1,0,1,1
"105",12,60,28,1,1,1,0,12,0,NA,0,1,1,NA,NA,NA,2,NA,784,1,12,0,1,0,0,0,0,1
"106",9,57,31,0,0,0,0,12,3,20,3,1,1,2,77,19,4,12,961,1,12,0,0,1,0,0,1,1
"107",11,64,24,1,1,1,0,12,0,NA,0,1,1,NA,NA,NA,2,NA,576,1,12,0,1,0,0,0,0,1
"108",8,48,40,1,1,1,0,5,7,19,5,1,1,9,66,18,4,0,1600,1,5,1,0,0,0,0,1,0
"109",12,70,18,1,1,1,0,0,0,NA,0,1,0,11,88,17,NA,NA,324,1,0,0,0,0,0,1,1,0
"110",5,57,31,1,1,1,0,12,3,20,3,1,1,2,86,28,3,17,961,1,12,0,0,1,1,0,1,1
"111",12,50,38,1,1,1,0,7,1,22,1,1,1,12,80,30,4,10,1444,1,7,1,0,0,0,0,1,1
"112",6,73,15,1,1,1,0,7,0,NA,0,1,0,NA,NA,NA,0,NA,225,1,7,1,0,0,1,0,0,1
"113",6,60,28,1,1,1,0,12,1,21,1,1,1,NA,NA,NA,3,NA,784,1,12,0,0,1,1,0,0,1
"114",9,45,43,1,1,1,0,10,4,18,3,1,1,8,71,25,4,7,1849,1,10,0,1,0,0,0,1,1
"115",12,63,25,1,1,1,NA,7,1,16,1,1,1,NA,NA,NA,4,NA,625,1,7,0,0,1,0,0,0,1
"116",5,67,21,1,1,1,0,10,1,17,1,1,1,NA,NA,NA,1,NA,441,1,10,0,1,0,1,0,0,1
"117",6,47,41,1,1,1,1,18,3,27,3,1,1,1,73,25,4,17,1681,1,18,0,0,1,1,0,1,1
"118",11,48,40,1,1,1,1,12,3,23,3,1,1,12,70,22,2,15,1600,1,12,0,0,0,0,0,1,1
"119",9,63,25,0,1,0,0,6,3,19,3,1,1,1,87,23,5,7,625,1,6,0,0,0,0,0,1,0
"120",9,53,35,1,1,1,0,12,2,20,2,1,1,6,71,17,2,15,1225,1,12,0,0,0,0,0,1,1
"121",8,68,20,1,1,1,1,7,0,NA,0,1,1,NA,NA,NA,4,NA,400,1,7,0,1,0,0,0,0,1
"122",4,59,29,1,1,1,1,0,1,25,1,1,1,NA,NA,NA,2,NA,841,1,0,0,0,0,1,1,0,0
"123",10,64,24,1,1,0,0,12,2,18,2,1,1,7,88,23,4,14,576,1,12,0,0,0,0,0,1,1
"124",6,70,18,1,1,0,0,8,0,NA,0,1,0,NA,NA,NA,NA,NA,324,1,8,0,0,0,1,0,0,1
"125",6,67,21,1,1,0,0,12,0,NA,0,1,1,NA,NA,NA,4,NA,441,1,12,1,0,0,1,0,0,1
"126",11,62,26,1,1,0,0,10,2,18,2,1,1,8,88,25,6,9,676,1,10,0,1,0,0,0,1,1
"127",6,51,37,1,1,1,1,12,3,24,3,1,1,3,78,26,4,0,1369,1,12,0,1,0,1,0,1,1
"128",11,61,27,1,1,0,0,12,2,22,2,1,1,NA,NA,NA,2,NA,729,1,12,1,0,0,0,0,0,1
"129",7,62,26,1,1,0,0,12,2,21,2,1,1,5,86,23,4,10,676,1,12,0,1,0,0,0,1,1
"130",7,54,34,1,1,1,0,15,1,22,1,1,1,NA,NA,NA,2,NA,1156,1,15,0,1,0,0,0,0,1
"131",10,54,34,1,1,1,0,9,6,15,6,1,1,2,70,15,6,12,1156,1,9,0,0,1,0,0,1,1
"132",11,51,37,1,1,1,0,12,3,22,3,1,1,9,73,21,3,10,1369,1,12,0,1,0,0,0,1,1
"133",6,70,18,1,1,1,0,9,0,NA,0,1,1,NA,NA,NA,4,NA,324,1,9,1,0,0,1,0,0,1
"134",3,53,35,1,1,1,0,12,3,24,3,1,1,4,82,29,3,10,1225,1,12,0,0,1,1,0,1,1
"135",6,66,22,1,1,1,0,7,1,19,1,1,1,NA,NA,NA,3,NA,484,1,7,0,1,0,1,0,0,1
"136",2,40,48,1,1,1,0,6,10,16,9,1,1,6,56,16,4,7,2304,1,6,1,0,0,1,0,1,0
"137",6,59,29,1,1,1,0,12,4,19,4,1,1,7,87,28,4,15,841,1,12,1,0,0,1,0,1,1
"138",3,65,23,1,1,1,0,5,1,18,1,1,1,NA,NA,NA,4,NA,529,1,5,0,1,0,1,0,0,0
"139",4,59,29,1,1,1,1,12,2,26,2,1,1,4,84,25,3,13,841,1,12,0,1,0,1,0,1,1
"140",12,66,21,1,1,1,1,12,2,19,2,1,1,1,86,19,3,10,441,1,12,0,0,0,0,0,1,1
"141",10,72,16,1,1,1,1,10,0,NA,0,1,0,NA,NA,NA,2,NA,256,1,10,0,0,0,0,0,0,1
"142",11,45,43,1,1,0,0,7,2,23,2,1,1,6,66,20,4,15,1849,1,7,0,1,0,0,0,1,1
"143",10,65,23,1,1,1,1,7,1,19,1,1,1,NA,NA,NA,3,NA,529,1,7,1,0,0,0,0,0,1
"144",12,66,22,1,1,1,1,12,0,NA,0,1,0,NA,NA,NA,4,NA,484,1,12,0,1,0,0,0,0,1
"145",4,62,26,1,1,1,0,12,1,21,1,1,1,6,82,20,4,12,676,1,12,0,1,0,1,0,1,1
"146",8,69,19,1,1,1,1,10,0,NA,0,1,1,NA,NA,NA,4,NA,361,1,10,1,0,0,0,0,0,1
"147",2,64,24,0,1,0,0,12,1,18,1,1,1,11,85,21,3,12,576,1,12,0,1,0,1,0,1,1
"148",5,53,35,1,1,1,1,14,3,24,3,1,1,4,81,27,3,14,1225,1,14,1,0,0,1,0,1,1
"149",11,69,19,1,1,1,1,8,0,NA,0,1,1,NA,NA,NA,2,NA,361,1,8,0,1,0,0,0,0,1
"150",3,64,24,1,1,1,1,12,0,NA,0,1,1,NA,NA,NA,3,NA,576,1,12,0,1,0,1,0,0,1
"151",7,54,34,1,1,1,1,12,1,30,1,1,1,NA,NA,NA,2,NA,1156,1,12,0,1,0,0,0,0,1
"152",8,63,25,1,1,1,1,12,1,24,1,1,1,NA,NA,NA,5,NA,625,1,12,0,0,1,0,0,0,1
"153",7,63,25,1,1,0,0,5,1,18,1,1,1,NA,NA,NA,5,NA,625,1,5,1,0,0,0,0,0,0
"154",1,68,20,1,1,0,0,7,0,NA,0,1,0,NA,NA,NA,2,NA,400,1,7,1,0,0,1,0,0,1
"155",5,52,36,1,1,1,0,12,3,22,3,1,1,5,73,21,3,12,1296,1,12,1,0,0,1,0,1,1
"156",10,60,28,1,1,1,0,16,2,21,1,1,1,6,83,22,3,10,784,1,16,0,1,0,0,0,1,1
"157",3,60,28,1,1,0,0,12,2,23,2,1,1,7,81,21,2,12,784,1,12,0,0,1,1,0,1,1
"158",8,47,41,1,1,1,1,12,3,17,3,1,1,9,64,17,3,12,1681,1,12,0,0,1,0,0,1,1
"159",8,57,31,1,0,1,1,12,1,27,1,1,1,12,78,21,1,12,961,1,12,0,0,1,0,0,1,1
"160",9,40,48,1,1,1,0,12,2,21,2,1,1,9,60,20,2,12,2304,1,12,0,1,0,0,0,1,1
"161",6,59,29,1,1,1,1,12,2,18,2,1,1,12,76,17,2,12,841,1,12,0,0,1,1,0,1,1
"162",5,44,44,1,1,0,0,5,1,28,1,1,0,3,78,33,11,NA,1936,1,5,0,0,1,1,0,1,0
"163",10,53,35,1,1,1,1,12,3,22,3,1,1,11,72,19,3,12,1225,1,12,0,0,0,0,0,1,1
"164",2,66,22,0,0,0,0,7,2,18,2,1,1,NA,NA,NA,4,NA,484,1,7,0,0,0,1,0,0,1
"165",2,61,27,0,0,0,0,7,3,19,2,1,1,NA,NA,NA,4,NA,729,1,7,1,0,0,1,0,0,1
"166",2,73,15,1,1,1,0,9,0,NA,0,1,0,NA,NA,NA,2,NA,225,1,9,0,0,0,1,0,0,1
"167",9,48,40,1,1,1,0,16,2,30,2,1,1,4,78,29,2,14,1600,1,16,0,0,0,0,0,1,1
"168",11,45,42,1,1,1,0,16,1,35,1,1,0,9,80,34,2,16,1764,1,16,0,0,0,0,0,1,1
"169",8,39,49,1,1,1,0,15,2,22,2,1,1,3,86,46,4,15,2401,1,15,0,1,0,0,0,1,1
"170",7,65,23,0,0,0,0,7,1,20,1,1,1,NA,NA,NA,4,NA,529,1,7,1,0,0,0,0,0,1
"171",8,56,32,1,1,1,1,12,2,24,2,1,1,12,79,23,4,12,1024,1,12,0,0,1,0,0,1,1
"172",8,62,26,1,1,1,1,10,1,16,1,1,1,1,85,22,1,10,676,1,10,0,0,1,0,0,1,1
"173",6,63,25,1,1,1,1,7,1,21,1,1,1,7,86,23,4,NA,625,1,7,0,0,0,1,0,1,1
"174",9,63,25,1,1,1,0,9,2,19,2,1,1,4,85,21,5,10,625,1,9,1,0,0,0,0,1,1
"175",9,68,20,1,1,0,0,10,1,19,1,1,1,4,85,16,2,14,400,1,10,0,1,0,0,0,1,1
"176",10,68,20,1,1,0,0,7,0,NA,0,1,1,7,86,17,2,7,400,1,7,1,0,0,0,0,1,1
"177",5,54,34,1,1,1,0,12,4,17,4,1,1,6,75,21,4,12,1156,1,12,1,0,0,1,0,1,1
"178",6,43,45,1,1,1,1,5,5,22,5,1,1,10,64,21,3,7,2025,1,5,0,0,0,1,0,1,0
"179",8,65,23,1,1,1,1,9,1,20,1,0,0,11,82,17,10,NA,529,1,9,0,0,0,0,0,1,1
"180",9,66,22,1,1,1,1,9,2,16,2,1,1,1,82,15,2,9,484,1,9,0,0,0,0,0,1,1
"181",12,71,16,1,1,1,0,7,0,NA,0,1,0,8,88,16,4,12,256,1,7,1,0,0,0,0,1,1
"182",7,43,45,1,1,1,0,9,3,26,3,0,0,8,70,27,3,10,2025,1,9,1,0,0,0,0,1,1
"183",9,69,19,1,1,1,1,10,0,NA,0,1,1,NA,NA,NA,3,NA,361,1,10,1,0,0,0,0,0,1
"184",12,59,28,0,0,0,0,3,2,19,2,1,1,NA,NA,NA,4,NA,784,1,3,0,0,0,0,0,0,0
"185",3,65,23,0,1,0,0,11,1,21,1,1,1,1,85,19,4,10,529,1,11,0,1,0,1,0,1,1
"186",2,59,29,0,1,0,0,0,1,19,1,1,1,NA,NA,NA,6,NA,841,1,0,0,0,0,1,1,0,0
"187",6,68,20,0,1,0,1,7,0,NA,0,1,1,10,86,18,6,7,400,1,7,1,0,0,1,0,1,1
"188",4,61,27,0,0,0,0,10,1,21,1,1,1,NA,NA,NA,3,NA,729,1,10,0,1,0,1,0,0,1
"189",5,55,33,0,0,0,1,9,4,22,4,1,1,6,76,21,5,10,1089,1,9,1,0,0,1,0,1,1
"190",11,69,19,0,1,0,1,10,0,NA,0,1,1,NA,NA,NA,4,NA,361,1,10,0,0,0,0,0,0,1
"191",1,49,39,1,1,1,1,10,2,27,2,1,0,2,75,26,6,12,1521,1,10,0,0,1,1,0,1,1
"192",10,72,16,1,1,1,1,6,0,NA,0,0,0,NA,NA,NA,2,NA,256,1,6,0,0,1,0,0,0,0
"193",8,58,30,1,1,1,1,16,2,27,2,1,1,6,82,23,4,10,900,1,16,0,0,1,0,0,1,1
"194",5,66,22,0,0,0,0,7,1,21,0,1,1,NA,NA,NA,4,NA,484,1,7,0,1,0,1,0,0,1
"195",5,60,28,1,1,1,0,12,0,NA,0,1,1,11,87,27,2,12,784,1,12,0,1,0,1,0,1,1
"196",6,59,29,0,0,0,0,7,2,19,2,1,1,NA,NA,NA,4,NA,841,1,7,1,0,0,1,0,0,1
"197",1,64,24,0,0,0,0,0,0,NA,0,1,1,NA,NA,NA,5,NA,576,1,0,0,1,0,1,1,0,0
"198",2,51,37,1,1,1,0,10,3,22,3,1,1,8,75,24,4,10,1369,1,10,1,0,0,1,0,1,1
"199",6,57,31,0,0,0,0,0,3,17,3,1,1,NA,NA,NA,6,NA,961,1,0,0,0,0,1,1,0,0
"200",12,54,33,1,1,1,0,12,4,20,4,1,1,9,75,20,3,12,1089,1,12,0,1,0,0,0,1,1
"201",8,66,22,0,0,0,0,0,1,18,1,1,1,NA,NA,NA,2,NA,484,1,0,0,1,0,0,1,0,0
"202",12,40,47,0,1,0,0,3,9,22,9,1,1,7,78,37,10,7,2209,1,3,0,1,0,0,0,1,0
"203",12,47,40,0,0,0,0,12,4,23,4,1,1,11,72,24,6,10,1600,1,12,0,1,0,0,0,1,1
"204",5,73,15,0,1,0,0,7,0,NA,0,1,0,NA,NA,NA,2,NA,225,1,7,0,0,0,1,0,0,1
"205",12,61,26,0,1,0,0,7,3,18,3,1,0,12,79,18,4,7,676,1,7,0,0,0,0,0,1,1
"206",6,59,29,0,1,0,0,7,1,24,1,1,1,NA,NA,NA,2,NA,841,1,7,0,0,0,1,0,0,1
"207",6,56,32,0,1,0,1,6,5,16,4,1,1,1,88,31,6,0,1024,1,6,1,0,0,1,0,1,0
"208",1,51,37,0,1,1,0,6,0,NA,0,1,0,8,72,21,NA,5,1369,1,6,0,1,0,1,0,1,0
"209",12,66,21,0,1,1,0,10,0,NA,0,1,1,NA,NA,NA,6,NA,441,1,10,0,1,0,0,0,0,1
"210",12,60,27,0,1,0,0,10,1,20,1,1,1,NA,NA,NA,2,NA,729,1,10,1,0,0,0,0,0,1
"211",12,50,37,0,0,0,0,7,0,NA,0,1,0,7,82,31,4,10,1369,1,7,0,1,0,0,0,1,1
"212",10,62,26,0,0,0,0,7,3,15,2,1,0,4,85,22,5,5,676,1,7,0,1,0,0,0,1,1
"213",6,54,34,0,1,0,0,0,3,18,3,1,0,6,70,16,4,8,1156,1,0,0,0,0,1,1,1,0
"214",11,72,15,0,1,0,0,7,0,NA,0,1,0,NA,NA,NA,0,NA,225,1,7,0,1,0,0,0,0,1
"215",6,40,48,0,1,0,0,0,9,17,3,1,1,8,56,16,5,0,2304,1,0,0,0,0,1,1,1,0
"216",8,65,23,0,1,0,0,5,1,17,1,1,1,NA,NA,NA,4,NA,529,1,5,0,1,0,0,0,0,0
"217",4,65,23,0,1,0,1,9,1,20,1,1,0,NA,NA,NA,4,NA,529,1,9,1,0,0,1,0,0,1
"218",7,65,23,1,1,1,1,13,0,NA,0,1,0,9,87,22,3,14,529,1,13,0,0,0,0,0,1,1
"219",7,58,30,1,1,1,1,14,2,16,2,1,0,1,74,15,2,14,900,1,14,0,0,1,0,0,1,1
"220",12,58,29,1,0,0,0,10,2,23,2,1,1,NA,NA,NA,4,NA,841,1,10,0,0,1,0,0,0,1
"221",8,43,45,1,1,0,0,4,0,NA,0,0,0,NA,NA,NA,10,NA,2025,1,4,1,0,0,0,0,0,0
"222",12,58,29,1,1,1,0,14,3,20,3,1,1,7,77,18,3,13,841,1,14,1,0,0,0,0,1,1
"223",1,58,30,1,1,1,0,9,2,19,2,1,1,NA,NA,NA,4,NA,900,1,9,1,0,0,1,0,0,1
"224",3,61,27,1,1,1,1,12,2,17,2,1,1,2,78,16,2,12,729,1,12,0,1,0,1,0,1,1
